cello_pitch,viola_pitch,violin2_pitch,violin1_pitch,chord_type,dynamic,technique,cello_file,cello_instrument_code,cello_pitch_code,cello_technique_code,cello_dynamic_code,cello_audible_duration,cello_dynamic,cello_technique,cello_family,viola_file,viola_instrument_code,viola_pitch_code,viola_technique_code,viola_dynamic_code,viola_audible_duration,viola_dynamic,viola_technique,viola_family,violin2_file,violin2_instrument_code,violin2_pitch_code,violin2_technique_code,violin2_dynamic_code,violin2_audible_duration,violin2_dynamic,violin2_technique,violin2_family,violin1_file,violin1_instrument_code,violin1_pitch_code,violin1_technique_code,violin1_dynamic_code,violin1_audible_duration,violin1_dynamic,violin1_technique,violin1_family,wav_filename,chord_filename
12,24,35,45,dominant_seventh,forte,arco-normal,solo_wavs/solo_cello/cello_125409_forte_arco-normal.wav,1,12,09,54,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_241309_forte_arco-normal.wav,2,24,09,13,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_356309_forte_arco-normal.wav,3,35,09,63,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_459516_forte_arco-harmonic.wav,4,45,16,95,0.01,forte,arco-harmonic,harmonic,A7_125409_241309_356309_459516o.wav,A7_125409_241309_356309_459516o.wav
12,24,34,45,dominant_seventh,mezzo-forte,arco-normal,solo_wavs/solo_cello/cello_125505_mezzo-forte_arco-normal.wav,1,12,05,55,0.01,mezzo-forte,arco-normal,bowed,solo_wavs/solo_viola/viola_241309_forte_arco-normal.wav,2,24,09,13,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_344321_forte_natural-harmonic.wav,3,34,21,43,0.01,forte,natural-harmonic,harmonic,solo_wavs/solo_violin1/violin1_459314_fortissimo_arco-tremolo.wav,4,45,14,93,0.01,fortissimo,arco-tremolo,bowed,A7_125505_241309_344321_459314o.wav,A7_125505_241309_344321_459314o.wav
14,24,35,44,dominant_seventh,fortissimo,arco-normal,solo_wavs/solo_cello/cello_141409_fortissimo_arco-normal.wav,1,14,09,14,0.01,fortissimo,arco-normal,bowed,solo_wavs/solo_viola/viola_244509_forte_arco-normal.wav,2,24,09,45,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_359519_piano_pizz-normal.wav,3,35,19,95,0.01,piano,pizz-normal,plucked,solo_wavs/solo_violin1/violin1_449514_fortissimo_arco-tremolo.wav,4,44,14,95,0.01,fortissimo,arco-tremolo,bowed,A7_141409_244509_359519_449514o.wav,A7_141409_244509_359519_449514o.wav
11,23,33,44,dominant_seventh,forte,arco-normal,solo_wavs/solo_cello/cello_114409_forte_arco-normal.wav,1,11,09,44,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_230809_piano_arco-normal.wav,2,23,09,08,0.01,piano,arco-normal,bowed,solo_wavs/solo_violin2/violin2_333819_piano_pizz-normal.wav,3,33,19,38,0.01,piano,pizz-normal,plucked,solo_wavs/solo_violin1/violin1_448809_forte_arco-normal.wav,4,44,09,88,0.01,forte,arco-normal,bowed,As7_114409_230809_333819_448809o.wav,As7_114409_230809_333819_448809o.wav
12,22,31,44,dominant_seventh,mezzo-piano,arco-normal,solo_wavs/solo_cello/cello_121709_mezzo-piano_arco-normal.wav,1,12,09,17,0.01,mezzo-piano,arco-normal,bowed,solo_wavs/solo_viola/viola_224809_forte_arco-normal.wav,2,22,09,48,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_314409_forte_arco-normal.wav,3,31,09,44,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_442409_forte_arco-normal.wav,4,44,09,24,0.01,forte,arco-normal,bowed,As7_121709_224809_314409_442409o.wav,As7_121709_224809_314409_442409o.wav
12,22,31,43,dominant_seventh,forte,arco-normal,solo_wavs/solo_cello/cello_121809_forte_arco-normal.wav,1,12,09,18,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_224809_forte_arco-normal.wav,2,22,09,48,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_314709_forte_arco-normal.wav,3,31,09,47,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_430509_mezzo-forte_arco-normal.wav,4,43,09,05,0.01,mezzo-forte,arco-normal,bowed,As7_121809_224809_314709_430509c.wav,As7_121809_224809_314709_430509c.wav
12,21,33,43,dominant_seventh,forte,arco-normal,solo_wavs/solo_cello/cello_124609_forte_arco-normal.wav,1,12,09,46,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_214419_piano_pizz-normal.wav,2,21,19,44,0.01,piano,pizz-normal,plucked,solo_wavs/solo_violin2/violin2_330309_piano_arco-normal.wav,3,33,09,03,0.01,piano,arco-normal,bowed,solo_wavs/solo_violin1/violin1_433802_pianissimo_arco-normal.wav,4,43,02,38,0.01,pianissimo,arco-normal,bowed,As7_124609_214419_330309_433802c.wav,As7_124609_214419_330309_433802c.wav
12,24,34,44,dominant_seventh,forte,arco-normal,solo_wavs/solo_cello/cello_126309_forte_arco-normal.wav,1,12,09,63,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_242709_forte_arco-normal.wav,2,24,09,27,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_345809_forte_arco-normal.wav,3,34,09,58,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_448509_forte_arco-normal.wav,4,44,09,85,0.01,forte,arco-normal,bowed,As7_126309_242709_345809_448509c.wav,As7_126309_242709_345809_448509c.wav
13,24,33,45,dominant_seventh,forte,arco-normal,solo_wavs/solo_cello/cello_133309_forte_arco-normal.wav,1,13,09,33,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_248409_forte_arco-normal.wav,2,24,09,84,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_338515_pianissimo_arco-col-legno-battuto.wav,3,33,15,85,0.01,pianissimo,arco-col-legno-battuto,col_legno,solo_wavs/solo_violin1/violin1_454315_pianissimo_arco-col-legno-battuto.wav,4,45,15,43,0.01,pianissimo,arco-col-legno-battuto,col_legno,As7_133309_248409_338515_454315o.wav,As7_133309_248409_338515_454315o.wav
14,24,34,43,dominant_seventh,pianissimo,arco-normal,solo_wavs/solo_cello/cello_142502_pianissimo_arco-normal.wav,1,14,02,25,0.01,pianissimo,arco-normal,bowed,solo_wavs/solo_viola/viola_245709_forte_arco-normal.wav,2,24,09,57,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_348509_forte_arco-normal.wav,3,34,09,85,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_438412_forte_arco-normal.wav,4,43,12,84,0.01,forte,arco-normal,bowed,As7_142502_245709_348509_438412c.wav,As7_142502_245709_348509_438412c.wav
