cello_pitch,viola_pitch,violin2_pitch,violin1_pitch,chord_type,dynamic,technique,cello_file,cello_instrument_code,cello_pitch_code,cello_technique_code,cello_dynamic_code,cello_audible_duration,cello_dynamic,cello_technique,cello_family,viola_file,viola_instrument_code,viola_pitch_code,viola_technique_code,viola_dynamic_code,viola_audible_duration,viola_dynamic,viola_technique,viola_family,violin2_file,violin2_instrument_code,violin2_pitch_code,violin2_technique_code,violin2_dynamic_code,violin2_audible_duration,violin2_dynamic,violin2_technique,violin2_family,violin1_file,violin1_instrument_code,violin1_pitch_code,violin1_technique_code,violin1_dynamic_code,violin1_audible_duration,violin1_dynamic,violin1_technique,violin1_family,wav_filename,chord_filename
11,21,32,41,half_diminished_seventh,forte,arco-normal,solo_wavs/solo_cello/cello_116709_forte_arco-normal.wav,1,11,09,67,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_219508_piano_arco-minor-trill.wav,2,21,08,95,0.01,piano,arco-minor-trill,bowed,solo_wavs/solo_violin2/violin2_323321_forte_natural-harmonic.wav,3,32,21,33,0.01,forte,natural-harmonic,harmonic,solo_wavs/solo_violin1/violin1_413809_forte_arco-normal.wav,4,41,09,38,0.01,forte,arco-normal,bowed,Am7b5_116709_219508_323321_413809c.wav,Am7b5_116709_219508_323321_413809c.wav
12,21,34,44,half_diminished_seventh,forte,arco-normal,solo_wavs/solo_cello/cello_123609_forte_arco-normal.wav,1,12,09,36,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_213709_forte_arco-normal.wav,2,21,09,37,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_340409_fortissimo_arco-normal.wav,3,34,09,04,0.01,fortissimo,arco-normal,bowed,solo_wavs/solo_violin1/violin1_443814_fortissimo_arco-tremolo.wav,4,44,14,38,0.01,fortissimo,arco-tremolo,bowed,Am7b5_123609_213709_340409_443814o.wav,Am7b5_123609_213709_340409_443814o.wav
12,24,34,44,half_diminished_seventh,forte,arco-normal,solo_wavs/solo_cello/cello_126709_forte_arco-normal.wav,1,12,09,67,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_241609_forte_arco-normal.wav,2,24,09,16,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_344519_piano_pizz-normal.wav,3,34,19,45,0.01,piano,pizz-normal,plucked,solo_wavs/solo_violin1/violin1_448315_pianissimo_arco-col-legno-battuto.wav,4,44,15,83,0.01,pianissimo,arco-col-legno-battuto,col_legno,Asm7b5_126709_241609_344519_448315c.wav,Asm7b5_126709_241609_344519_448315c.wav
12,24,34,44,half_diminished_seventh,forte,arco-normal,solo_wavs/solo_cello/cello_126709_forte_arco-normal.wav,1,12,09,67,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_241709_mezzo-piano_arco-normal.wav,2,24,09,17,0.01,mezzo-piano,arco-normal,bowed,solo_wavs/solo_violin2/violin2_344519_piano_pizz-normal.wav,3,34,19,45,0.01,piano,pizz-normal,plucked,solo_wavs/solo_violin1/violin1_448409_forte_arco-normal.wav,4,44,09,84,0.01,forte,arco-normal,bowed,Asm7b5_126709_241709_344519_448409c.wav,Asm7b5_126709_241709_344519_448409c.wav
13,23,32,44,half_diminished_seventh,pianissimo,arco-normal,solo_wavs/solo_cello/cello_132502_pianissimo_arco-normal.wav,1,13,02,25,0.01,pianissimo,arco-normal,bowed,solo_wavs/solo_viola/viola_236709_forte_arco-normal.wav,2,23,09,67,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_326409_forte_arco-normal.wav,3,32,09,64,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_441309_forte_arco-normal.wav,4,44,09,13,0.01,forte,arco-normal,bowed,Asm7b5_132502_236709_326409_441309c.wav,Asm7b5_132502_236709_326409_441309c.wav
13,22,34,45,half_diminished_seventh,forte,arco-normal,solo_wavs/solo_cello/cello_136409_forte_arco-normal.wav,1,13,09,64,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_226309_forte_arco-normal.wav,2,22,09,63,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_341510_pianissimo_arco-sul-ponticello.wav,3,34,10,15,0.01,pianissimo,arco-sul-ponticello,bowed,solo_wavs/solo_violin1/violin1_456309_forte_arco-normal.wav,4,45,09,63,0.01,forte,arco-normal,bowed,Asm7b5_136409_226309_341510_456309o.wav,Asm7b5_136409_226309_341510_456309o.wav
13,23,35,45,half_diminished_seventh,forte,arco-normal,solo_wavs/solo_cello/cello_136709_forte_arco-normal.wav,1,13,09,67,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_238516_forte_arco-harmonic.wav,2,23,16,85,0.01,forte,arco-harmonic,harmonic,solo_wavs/solo_violin2/violin2_353516_forte_arco-harmonic.wav,3,35,16,35,0.01,forte,arco-harmonic,harmonic,solo_wavs/solo_violin1/violin1_456509_forte_arco-normal.wav,4,45,09,65,0.01,forte,arco-normal,bowed,Asm7b5_136709_238516_353516_456509o.wav,Asm7b5_136709_238516_353516_456509o.wav
10,21,33,42,half_diminished_seventh,forte,arco-normal,solo_wavs/solo_cello/cello_103409_forte_arco-normal.wav,1,10,09,34,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_218709_forte_arco-normal.wav,2,21,09,87,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_333409_forte_arco-normal.wav,3,33,09,34,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_425109_forte_arco-normal.wav,4,42,09,51,0.01,forte,arco-normal,bowed,Bm7b5_103409_218709_333409_425109o.wav,Bm7b5_103409_218709_333409_425109o.wav
12,22,34,45,half_diminished_seventh,forte,arco-normal,solo_wavs/solo_cello/cello_125309_forte_arco-normal.wav,1,12,09,53,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_227609_forte_arco-normal.wav,2,22,09,76,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_342409_forte_arco-normal.wav,3,34,09,24,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_457509_forte_arco-normal.wav,4,45,09,75,0.01,forte,arco-normal,bowed,Bm7b5_125309_227609_342409_457509o.wav,Bm7b5_125309_227609_342409_457509o.wav
12,22,35,45,half_diminished_seventh,forte,arco-normal,solo_wavs/solo_cello/cello_125709_forte_arco-normal.wav,1,12,09,57,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_227609_forte_arco-normal.wav,2,22,09,76,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_354309_forte_arco-normal.wav,3,35,09,43,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_457509_forte_arco-normal.wav,4,45,09,75,0.01,forte,arco-normal,bowed,Bm7b5_125709_227609_354309_457509o.wav,Bm7b5_125709_227609_354309_457509o.wav
