cello_pitch,viola_pitch,violin2_pitch,violin1_pitch,chord_type,dynamic,technique,cello_file,cello_instrument_code,cello_pitch_code,cello_technique_code,cello_dynamic_code,cello_audible_duration,cello_dynamic,cello_technique,cello_family,viola_file,viola_instrument_code,viola_pitch_code,viola_technique_code,viola_dynamic_code,viola_audible_duration,viola_dynamic,viola_technique,viola_family,violin2_file,violin2_instrument_code,violin2_pitch_code,violin2_technique_code,violin2_dynamic_code,violin2_audible_duration,violin2_dynamic,violin2_technique,violin2_family,violin1_file,violin1_instrument_code,violin1_pitch_code,violin1_technique_code,violin1_dynamic_code,violin1_audible_duration,violin1_dynamic,violin1_technique,violin1_family,wav_filename,chord_filename
12,22,31,42,major_seventh,mezzo-forte,arco-normal,solo_wavs/solo_cello/cello_120502_mezzo-forte_arco-normal.wav,1,12,02,05,0.01,mezzo-forte,arco-normal,bowed,solo_wavs/solo_viola/viola_224409_forte_arco-normal.wav,2,22,09,44,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_313809_forte_arco-normal.wav,3,31,09,38,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_429809_forte_arco-normal.wav,4,42,09,98,0.01,forte,arco-normal,bowed,Amaj7_120502_224409_313809_429809c.wav,Amaj7_120502_224409_313809_429809c.wav
12,21,32,44,major_seventh,forte,arco-normal,solo_wavs/solo_cello/cello_124409_forte_arco-normal.wav,1,12,09,44,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_213709_forte_arco-normal.wav,2,21,09,37,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_329809_forte_arco-normal.wav,3,32,09,98,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_444321_forte_natural-harmonic.wav,4,44,21,43,0.01,forte,natural-harmonic,harmonic,Amaj7_124409_213709_329809_444321o.wav,Amaj7_124409_213709_329809_444321o.wav
12,21,32,43,major_seventh,forte,arco-normal,solo_wavs/solo_cello/cello_124609_forte_arco-normal.wav,1,12,09,46,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_213515_pianissimo_arco-col-legno-battuto.wav,2,21,15,35,0.01,pianissimo,arco-col-legno-battuto,col_legno,solo_wavs/solo_violin2/violin2_329603_piano_arco-normal.wav,3,32,03,96,0.01,piano,arco-normal,bowed,solo_wavs/solo_violin1/violin1_432809_forte_arco-normal.wav,4,43,09,28,0.01,forte,arco-normal,bowed,Amaj7_124609_213515_329603_432809c.wav,Amaj7_124609_213515_329603_432809c.wav
13,23,32,45,major_seventh,forte,arco-normal,solo_wavs/solo_cello/cello_132309_forte_arco-normal.wav,1,13,09,23,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_236709_forte_arco-normal.wav,2,23,09,67,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_325509_forte_arco-normal.wav,3,32,09,55,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_453803_piano_arco-normal.wav,4,45,03,38,0.01,piano,arco-normal,bowed,Amaj7_132309_236709_325509_453803o.wav,Amaj7_132309_236709_325509_453803o.wav
13,23,32,45,major_seventh,pianissimo,arco-normal,solo_wavs/solo_cello/cello_132502_pianissimo_arco-normal.wav,1,13,02,25,0.01,pianissimo,arco-normal,bowed,solo_wavs/solo_viola/viola_236409_forte_arco-normal.wav,2,23,09,64,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_325509_forte_arco-normal.wav,3,32,09,55,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_453809_forte_arco-normal.wav,4,45,09,38,0.01,forte,arco-normal,bowed,Amaj7_132502_236409_325509_453809o.wav,Amaj7_132502_236409_325509_453809o.wav
13,22,34,44,major_seventh,pianissimo,arco-normal,solo_wavs/solo_cello/cello_136502_pianissimo_arco-normal.wav,1,13,02,65,0.01,pianissimo,arco-normal,bowed,solo_wavs/solo_viola/viola_225709_forte_arco-normal.wav,2,22,09,57,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_341309_forte_arco-normal.wav,3,34,09,13,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_444810_mezzo-forte_arco-sul-ponticello.wav,4,44,10,48,0.01,mezzo-forte,arco-sul-ponticello,bowed,Amaj7_136502_225709_341309_444810c.wav,Amaj7_136502_225709_341309_444810c.wav
13,22,32,44,major_seventh,forte,arco-normal,solo_wavs/solo_cello/cello_133309_forte_arco-normal.wav,1,13,09,33,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_225515_pianissimo_arco-col-legno-battuto.wav,2,22,15,55,0.01,pianissimo,arco-col-legno-battuto,col_legno,solo_wavs/solo_violin2/violin2_326401_forte_arco-normal.wav,3,32,01,64,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_442309_forte_arco-normal.wav,4,44,09,23,0.01,forte,arco-normal,bowed,Asmaj7_133309_225515_326401_442309c.wav,Asmaj7_133309_225515_326401_442309c.wav
13,22,32,45,major_seventh,forte,arco-normal,solo_wavs/solo_cello/cello_133409_forte_arco-normal.wav,1,13,09,34,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_225409_forte_arco-normal.wav,2,22,09,54,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_326614_fortissimo_arco-tremolo.wav,3,32,14,66,0.01,fortissimo,arco-tremolo,bowed,solo_wavs/solo_violin1/violin1_454509_forte_arco-normal.wav,4,45,09,45,0.01,forte,arco-normal,bowed,Asmaj7_133409_225409_326614_454509o.wav,Asmaj7_133409_225409_326614_454509o.wav
10,21,33,42,major_seventh,pianissimo,arco-normal,solo_wavs/solo_cello/cello_103502_pianissimo_arco-normal.wav,1,10,02,35,0.01,pianissimo,arco-normal,bowed,solo_wavs/solo_viola/viola_219609_forte_arco-normal.wav,2,21,09,96,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_334309_forte_arco-normal.wav,3,33,09,43,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_426309_forte_arco-normal.wav,4,42,09,63,0.01,forte,arco-normal,bowed,Bmaj7_103502_219609_334309_426309o.wav,Bmaj7_103502_219609_334309_426309o.wav
11,21,34,44,major_seventh,forte,arco-normal,solo_wavs/solo_cello/cello_114309_forte_arco-normal.wav,1,11,09,43,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_215709_forte_arco-normal.wav,2,21,09,57,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_343509_forte_arco-normal.wav,3,34,09,35,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_446609_forte_arco-normal.wav,4,44,09,66,0.01,forte,arco-normal,bowed,Bmaj7_114309_215709_343509_446609o.wav,Bmaj7_114309_215709_343509_446609o.wav
