cello_pitch,viola_pitch,violin2_pitch,violin1_pitch,chord_type,dynamic,technique,cello_file,cello_instrument_code,cello_pitch_code,cello_technique_code,cello_dynamic_code,cello_audible_duration,cello_dynamic,cello_technique,cello_family,viola_file,viola_instrument_code,viola_pitch_code,viola_technique_code,viola_dynamic_code,viola_audible_duration,viola_dynamic,viola_technique,viola_family,violin2_file,violin2_instrument_code,violin2_pitch_code,violin2_technique_code,violin2_dynamic_code,violin2_audible_duration,violin2_dynamic,violin2_technique,violin2_family,violin1_file,violin1_instrument_code,violin1_pitch_code,violin1_technique_code,violin1_dynamic_code,violin1_audible_duration,violin1_dynamic,violin1_technique,violin1_family,wav_filename,chord_filename
10,21,33,43,minor_seventh,forte,arco-normal,solo_wavs/solo_cello/cello_101309_forte_arco-normal.wav,1,10,09,13,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_216409_forte_arco-normal.wav,2,21,09,64,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_332409_forte_arco-normal.wav,3,33,09,24,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_435409_forte_arco-normal.wav,4,43,09,54,0.01,forte,arco-normal,bowed,Amin7_101309_216409_332409_435409o.wav,Amin7_101309_216409_332409_435409o.wav
10,22,33,43,minor_seventh,forte,arco-normal,solo_wavs/solo_cello/cello_101609_forte_arco-normal.wav,1,10,09,16,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_228409_forte_arco-normal.wav,2,22,09,84,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_332409_forte_arco-normal.wav,3,33,09,24,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_435409_forte_arco-normal.wav,4,43,09,54,0.01,forte,arco-normal,bowed,Amin7_101609_228409_332409_435409o.wav,Amin7_101609_228409_332409_435409o.wav
11,22,33,43,minor_seventh,forte,arco-normal,solo_wavs/solo_cello/cello_113309_forte_arco-normal.wav,1,11,09,33,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_228809_forte_arco-normal.wav,2,22,09,88,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_332319_piano_pizz-normal.wav,3,33,19,23,0.01,piano,pizz-normal,plucked,solo_wavs/solo_violin1/violin1_435319_piano_pizz-normal.wav,4,43,19,53,0.01,piano,pizz-normal,plucked,Amin7_113309_228809_332319_435319c.wav,Amin7_113309_228809_332319_435319c.wav
12,21,32,43,minor_seventh,forte,arco-normal,solo_wavs/solo_cello/cello_123609_forte_arco-normal.wav,1,12,09,36,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_213709_forte_arco-normal.wav,2,21,09,37,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_328609_forte_arco-normal.wav,3,32,09,86,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_432617_mezzo-piano_non-vibrato.wav,4,43,17,26,0.01,mezzo-piano,non-vibrato,bowed,Amin7_123609_213709_328609_432617c.wav,Amin7_123609_213709_328609_432617c.wav
12,21,32,44,minor_seventh,forte,arco-normal,solo_wavs/solo_cello/cello_123809_forte_arco-normal.wav,1,12,09,38,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_213617_mezzo-piano_non-vibrato.wav,2,21,17,36,0.01,mezzo-piano,non-vibrato,bowed,solo_wavs/solo_violin2/violin2_328409_forte_arco-normal.wav,3,32,09,84,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_444509_forte_arco-normal.wav,4,44,09,45,0.01,forte,arco-normal,bowed,Amin7_123809_213617_328409_444509o.wav,Amin7_123809_213617_328409_444509o.wav
12,24,34,45,minor_seventh,pianissimo,arco-normal,solo_wavs/solo_cello/cello_125502_pianissimo_arco-normal.wav,1,12,02,55,0.01,pianissimo,arco-normal,bowed,solo_wavs/solo_viola/viola_240809_piano_arco-normal.wav,2,24,09,08,0.01,piano,arco-normal,bowed,solo_wavs/solo_violin2/violin2_344509_forte_arco-normal.wav,3,34,09,45,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_459309_forte_arco-normal.wav,4,45,09,93,0.01,forte,arco-normal,bowed,Amin7_125502_240809_344509_459309o.wav,Amin7_125502_240809_344509_459309o.wav
13,23,32,44,minor_seventh,forte,arco-normal,solo_wavs/solo_cello/cello_132309_forte_arco-normal.wav,1,13,09,23,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_235516_forte_arco-harmonic.wav,2,23,16,55,0.01,forte,arco-harmonic,harmonic,solo_wavs/solo_violin2/violin2_325809_forte_arco-normal.wav,3,32,09,58,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_440421_fortissimo_natural-harmonic.wav,4,44,21,04,0.01,fortissimo,natural-harmonic,harmonic,Amin7_132309_235516_325809_440421c.wav,Amin7_132309_235516_325809_440421c.wav
14,23,35,45,minor_seventh,forte,arco-normal,solo_wavs/solo_cello/cello_147309_forte_arco-normal.wav,1,14,09,73,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_237709_forte_arco-normal.wav,2,23,09,77,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_352309_forte_arco-normal.wav,3,35,09,23,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_456509_forte_arco-normal.wav,4,45,09,65,0.01,forte,arco-normal,bowed,Amin7_147309_237709_352309_456509c.wav,Amin7_147309_237709_352309_456509c.wav
14,24,34,45,minor_seventh,fortissimo,arco-normal,solo_wavs/solo_cello/cello_141409_fortissimo_arco-normal.wav,1,14,09,14,0.01,fortissimo,arco-normal,bowed,solo_wavs/solo_viola/viola_245609_forte_arco-normal.wav,2,24,09,56,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_348315_pianissimo_arco-col-legno-battuto.wav,3,34,15,83,0.01,pianissimo,arco-col-legno-battuto,col_legno,solo_wavs/solo_violin1/violin1_450309_piano_arco-normal.wav,4,45,09,03,0.01,piano,arco-normal,bowed,Asmin7_141409_245609_348315_450309o.wav,Asmin7_141409_245609_348315_450309o.wav
11,21,33,43,minor_seventh,pianissimo,arco-normal,solo_wavs/solo_cello/cello_113502_pianissimo_arco-normal.wav,1,11,02,35,0.01,pianissimo,arco-normal,bowed,solo_wavs/solo_viola/viola_215809_forte_arco-normal.wav,2,21,09,58,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_330802_piano_arco-normal.wav,3,33,02,08,0.01,piano,arco-normal,bowed,solo_wavs/solo_violin1/violin1_434709_forte_arco-normal.wav,4,43,09,47,0.01,forte,arco-normal,bowed,Bmin7_113502_215809_330802_434709c.wav,Bmin7_113502_215809_330802_434709c.wav
