cello_pitch,viola_pitch,violin2_pitch,violin1_pitch,chord_type,dynamic,technique,cello_file,cello_instrument_code,cello_pitch_code,cello_technique_code,cello_dynamic_code,cello_audible_duration,cello_dynamic,cello_technique,cello_family,viola_file,viola_instrument_code,viola_pitch_code,viola_technique_code,viola_dynamic_code,viola_audible_duration,viola_dynamic,viola_technique,viola_family,violin2_file,violin2_instrument_code,violin2_pitch_code,violin2_technique_code,violin2_dynamic_code,violin2_audible_duration,violin2_dynamic,violin2_technique,violin2_family,violin1_file,violin1_instrument_code,violin1_pitch_code,violin1_technique_code,violin1_dynamic_code,violin1_audible_duration,violin1_dynamic,violin1_technique,violin1_family,wav_filename,chord_filename
13,25,36,47,dominant_seventh,forte,arco-normal,solo_wavs/solo_cello/cello_137309_forte_arco-normal.wav,1,13,09,73,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_253309_forte_arco-normal.wav,2,25,09,33,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_368309_forte_arco-normal.wav,3,36,09,83,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_471309_forte_arco-normal.wav,4,47,09,13,0.01,forte,arco-normal,bowed,A7_137309_253309_368309_471309o.wav,A7_137309_253309_368309_471309o.wav
11,23,33,42,dominant_seventh,forte,arco-normal,solo_wavs/solo_cello/cello_118709_forte_arco-normal.wav,1,11,09,87,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_233709_forte_arco-normal.wav,2,23,09,37,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_336709_forte_arco-normal.wav,3,33,09,67,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_426709_forte_arco-normal.wav,4,42,09,67,0.01,forte,arco-normal,bowed,As7_118709_233709_336709_426709o.wav,As7_118709_233709_336709_426709o.wav
10,22,31,41,dominant_seventh,forte,arco-normal,solo_wavs/solo_cello/cello_107709_forte_arco-normal.wav,1,10,09,77,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_222709_forte_arco-normal.wav,2,22,09,27,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_313709_forte_arco-normal.wav,3,31,09,37,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_415709_forte_arco-normal.wav,4,41,09,57,0.01,forte,arco-normal,bowed,B7_107709_222709_313709_415709o.wav,B7_107709_222709_313709_415709o.wav
11,22,31,42,dominant_seventh,forte,arco-normal,solo_wavs/solo_cello/cello_119309_forte_arco-normal.wav,1,11,09,93,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_222309_forte_arco-normal.wav,2,22,09,23,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_313309_forte_arco-normal.wav,3,31,09,33,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_427309_forte_arco-normal.wav,4,42,09,73,0.01,forte,arco-normal,bowed,B7_119309_222309_313309_427309o.wav,B7_119309_222309_313309_427309o.wav
12,23,35,45,dominant_seventh,forte,arco-normal,solo_wavs/solo_cello/cello_125309_forte_arco-normal.wav,1,12,09,53,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_239309_forte_arco-normal.wav,2,23,09,93,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_355309_forte_arco-normal.wav,3,35,09,53,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_458309_forte_arco-normal.wav,4,45,09,83,0.01,forte,arco-normal,bowed,B7_125309_239309_355309_458309o.wav,B7_125309_239309_355309_458309o.wav
12,22,35,45,dominant_seventh,forte,arco-normal,solo_wavs/solo_cello/cello_125709_forte_arco-normal.wav,1,12,09,57,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_227709_forte_arco-normal.wav,2,22,09,77,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_355709_forte_arco-normal.wav,3,35,09,57,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_458709_forte_arco-normal.wav,4,45,09,87,0.01,forte,arco-normal,bowed,B7_125709_227709_355709_458709o.wav,B7_125709_227709_355709_458709o.wav
13,24,33,43,dominant_seventh,fortissimo,arco-normal,solo_wavs/solo_cello/cello_131409_fortissimo_arco-normal.wav,1,13,09,14,0.01,fortissimo,arco-normal,bowed,solo_wavs/solo_viola/viola_246409_forte_arco-normal.wav,2,24,09,64,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_337409_forte_arco-normal.wav,3,33,09,74,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_439409_forte_arco-normal.wav,4,43,09,94,0.01,forte,arco-normal,bowed,B7_131409_246409_337409_439409o.wav,B7_131409_246409_337409_439409o.wav
13,23,33,43,dominant_seventh,mezzo-piano,arco-normal,solo_wavs/solo_cello/cello_131709_mezzo-piano_arco-normal.wav,1,13,09,17,0.01,mezzo-piano,arco-normal,bowed,solo_wavs/solo_viola/viola_234709_forte_arco-normal.wav,2,23,09,47,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_337709_forte_arco-normal.wav,3,33,09,77,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_439709_forte_arco-normal.wav,4,43,09,97,0.01,forte,arco-normal,bowed,B7_131709_234709_337709_439709o.wav,B7_131709_234709_337709_439709o.wav
12,24,34,45,dominant_seventh,forte,arco-normal,solo_wavs/solo_cello/cello_126709_forte_arco-normal.wav,1,12,09,67,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_240709_forte_arco-normal.wav,2,24,09,07,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_344709_forte_arco-normal.wav,3,34,09,47,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_459709_forte_arco-normal.wav,4,45,09,97,0.01,forte,arco-normal,bowed,C7_126709_240709_344709_459709o.wav,C7_126709_240709_344709_459709o.wav
12,23,33,42,dominant_seventh,forte,arco-normal,solo_wavs/solo_cello/cello_128609_forte_arco-normal.wav,1,12,09,86,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_232609_forte_arco-normal.wav,2,23,09,26,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_335609_forte_arco-normal.wav,3,33,09,56,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_426609_forte_arco-normal.wav,4,42,09,66,0.01,forte,arco-normal,bowed,C7_128609_232609_335609_426609c.wav,C7_128609_232609_335609_426609c.wav
