cello_pitch,viola_pitch,violin2_pitch,violin1_pitch,chord_type,dynamic,technique,cello_file,cello_instrument_code,cello_pitch_code,cello_technique_code,cello_dynamic_code,cello_audible_duration,cello_dynamic,cello_technique,cello_family,viola_file,viola_instrument_code,viola_pitch_code,viola_technique_code,viola_dynamic_code,viola_audible_duration,viola_dynamic,viola_technique,viola_family,violin2_file,violin2_instrument_code,violin2_pitch_code,violin2_technique_code,violin2_dynamic_code,violin2_audible_duration,violin2_dynamic,violin2_technique,violin2_family,violin1_file,violin1_instrument_code,violin1_pitch_code,violin1_technique_code,violin1_dynamic_code,violin1_audible_duration,violin1_dynamic,violin1_technique,violin1_family,wav_filename,chord_filename
10,21,33,43,half_diminished_seventh,fortissimo,arco-normal,solo_wavs/solo_cello/cello_101409_fortissimo_arco-normal.wav,1,10,09,14,0.01,fortissimo,arco-normal,bowed,solo_wavs/solo_viola/viola_216409_forte_arco-normal.wav,2,21,09,64,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_331409_fortissimo_arco-normal.wav,3,33,09,14,0.01,fortissimo,arco-normal,bowed,solo_wavs/solo_violin1/violin1_435409_forte_arco-normal.wav,4,43,09,54,0.01,forte,arco-normal,bowed,Am7b5_101409_216409_331409_435409o.wav,Am7b5_101409_216409_331409_435409o.wav
11,23,33,42,half_diminished_seventh,forte,arco-normal,solo_wavs/solo_cello/cello_116809_forte_arco-normal.wav,1,11,09,68,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_231809_forte_arco-normal.wav,2,23,09,18,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_335809_forte_arco-normal.wav,3,33,09,58,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_425809_forte_arco-normal.wav,4,42,09,58,0.01,forte,arco-normal,bowed,Am7b5_116809_231809_335809_425809o.wav,Am7b5_116809_231809_335809_425809o.wav
11,23,32,44,half_diminished_seventh,forte,arco-normal,solo_wavs/solo_cello/cello_119809_forte_arco-normal.wav,1,11,09,98,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_235809_forte_arco-normal.wav,2,23,09,58,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_325809_forte_arco-normal.wav,3,32,09,58,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_440809_piano_arco-normal.wav,4,44,09,08,0.01,piano,arco-normal,bowed,Am7b5_119809_235809_325809_440809o.wav,Am7b5_119809_235809_325809_440809o.wav
12,23,33,42,half_diminished_seventh,forte,arco-normal,solo_wavs/solo_cello/cello_128609_forte_arco-normal.wav,1,12,09,86,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_231609_forte_arco-normal.wav,2,23,09,16,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_335609_forte_arco-normal.wav,3,33,09,56,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_425609_forte_arco-normal.wav,4,42,09,56,0.01,forte,arco-normal,bowed,Am7b5_128609_231609_335609_425609c.wav,Am7b5_128609_231609_335609_425609c.wav
10,21,33,43,half_diminished_seventh,forte,arco-normal,solo_wavs/solo_cello/cello_102409_forte_arco-normal.wav,1,10,09,24,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_217409_forte_arco-normal.wav,2,21,09,74,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_332409_forte_arco-normal.wav,3,33,09,24,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_436409_forte_arco-normal.wav,4,43,09,64,0.01,forte,arco-normal,bowed,Asm7b5_102409_217409_332409_436409o.wav,Asm7b5_102409_217409_332409_436409o.wav
12,22,31,42,half_diminished_seventh,piano,arco-normal,solo_wavs/solo_cello/cello_120809_piano_arco-normal.wav,1,12,09,08,0.01,piano,arco-normal,bowed,solo_wavs/solo_viola/viola_224809_forte_arco-normal.wav,2,22,09,48,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_314809_forte_arco-normal.wav,3,31,09,48,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_429809_forte_arco-normal.wav,4,42,09,98,0.01,forte,arco-normal,bowed,Asm7b5_120809_224809_314809_429809c.wav,Asm7b5_120809_224809_314809_429809c.wav
12,21,34,44,half_diminished_seventh,forte,arco-normal,solo_wavs/solo_cello/cello_124809_forte_arco-normal.wav,1,12,09,48,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_214809_forte_arco-normal.wav,2,21,09,48,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_341809_forte_arco-normal.wav,3,34,09,18,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_444809_forte_arco-normal.wav,4,44,09,48,0.01,forte,arco-normal,bowed,Asm7b5_124809_214809_341809_444809o.wav,Asm7b5_124809_214809_341809_444809o.wav
12,24,34,44,half_diminished_seventh,forte,arco-normal,solo_wavs/solo_cello/cello_126309_forte_arco-normal.wav,1,12,09,63,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_241309_forte_arco-normal.wav,2,24,09,13,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_344309_forte_arco-normal.wav,3,34,09,43,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_448309_forte_arco-normal.wav,4,44,09,83,0.01,forte,arco-normal,bowed,Asm7b5_126309_241309_344309_448309c.wav,Asm7b5_126309_241309_344309_448309c.wav
13,22,34,44,half_diminished_seventh,forte,arco-normal,solo_wavs/solo_cello/cello_136309_forte_arco-normal.wav,1,13,09,63,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_226309_forte_arco-normal.wav,2,22,09,63,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_341309_forte_arco-normal.wav,3,34,09,13,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_444309_forte_arco-normal.wav,4,44,09,43,0.01,forte,arco-normal,bowed,Asm7b5_136309_226309_341309_444309c.wav,Asm7b5_136309_226309_341309_444309c.wav
14,25,36,46,half_diminished_seventh,forte,arco-normal,solo_wavs/solo_cello/cello_148409_forte_arco-normal.wav,1,14,09,84,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_250409_fortissimo_arco-normal.wav,2,25,09,04,0.01,fortissimo,arco-normal,bowed,solo_wavs/solo_violin2/violin2_365409_forte_arco-normal.wav,3,36,09,54,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_468409_forte_arco-normal.wav,4,46,09,84,0.01,forte,arco-normal,bowed,Asm7b5_148409_250409_365409_468409o.wav,Asm7b5_148409_250409_365409_468409o.wav
