cello_pitch,viola_pitch,violin2_pitch,violin1_pitch,chord_type,dynamic,technique,cello_file,cello_instrument_code,cello_pitch_code,cello_technique_code,cello_dynamic_code,cello_audible_duration,cello_dynamic,cello_technique,cello_family,viola_file,viola_instrument_code,viola_pitch_code,viola_technique_code,viola_dynamic_code,viola_audible_duration,viola_dynamic,viola_technique,viola_family,violin2_file,violin2_instrument_code,violin2_pitch_code,violin2_technique_code,violin2_dynamic_code,violin2_audible_duration,violin2_dynamic,violin2_technique,violin2_family,violin1_file,violin1_instrument_code,violin1_pitch_code,violin1_technique_code,violin1_dynamic_code,violin1_audible_duration,violin1_dynamic,violin1_technique,violin1_family,wav_filename,chord_filename
11,22,34,44,major_seventh,mezzo-piano,non-vibrato,solo_wavs/solo_cello/cello_113617_mezzo-piano_non-vibrato.wav,1,11,17,36,0.01,mezzo-piano,non-vibrato,bowed,solo_wavs/solo_viola/viola_229617_mezzo-piano_non-vibrato.wav,2,22,17,96,0.01,mezzo-piano,non-vibrato,bowed,solo_wavs/solo_violin2/violin2_344617_mezzo-piano_non-vibrato.wav,3,34,17,46,0.01,mezzo-piano,non-vibrato,bowed,solo_wavs/solo_violin1/violin1_448617_mezzo-piano_non-vibrato.wav,4,44,17,86,0.01,mezzo-piano,non-vibrato,bowed,Amaj7_113617_229617_344617_448617o.wav,Amaj7_113617_229617_344617_448617o.wav
12,22,32,44,major_seventh,fortissimo,arco-normal,solo_wavs/solo_cello/cello_120409_fortissimo_arco-normal.wav,1,12,09,04,0.01,fortissimo,arco-normal,bowed,solo_wavs/solo_viola/viola_224409_forte_arco-normal.wav,2,22,09,44,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_325409_forte_arco-normal.wav,3,32,09,54,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_441409_fortissimo_arco-normal.wav,4,44,09,14,0.01,fortissimo,arco-normal,bowed,Amaj7_120409_224409_325409_441409o.wav,Amaj7_120409_224409_325409_441409o.wav
12,23,32,44,major_seventh,piano,arco-normal,solo_wavs/solo_cello/cello_120809_piano_arco-normal.wav,1,12,09,08,0.01,piano,arco-normal,bowed,solo_wavs/solo_viola/viola_236809_forte_arco-normal.wav,2,23,09,68,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_325809_forte_arco-normal.wav,3,32,09,58,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_441809_forte_arco-normal.wav,4,44,09,18,0.01,forte,arco-normal,bowed,Amaj7_120809_236809_325809_441809o.wav,Amaj7_120809_236809_325809_441809o.wav
12,24,34,46,major_seventh,forte,arco-normal,solo_wavs/solo_cello/cello_125609_forte_arco-normal.wav,1,12,09,56,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_241609_forte_arco-normal.wav,2,24,09,16,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_344609_forte_arco-normal.wav,3,34,09,46,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_460609_mezzo-piano_arco-normal.wav,4,46,09,06,0.01,mezzo-piano,arco-normal,bowed,Amaj7_125609_241609_344609_460609o.wav,Amaj7_125609_241609_344609_460609o.wav
14,25,36,44,major_seventh,mezzo-piano,arco-normal,solo_wavs/solo_cello/cello_141709_mezzo-piano_arco-normal.wav,1,14,09,17,0.01,mezzo-piano,arco-normal,bowed,solo_wavs/solo_viola/viola_256709_forte_arco-normal.wav,2,25,09,67,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_360709_forte_arco-normal.wav,3,36,09,07,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_449709_forte_arco-normal.wav,4,44,09,97,0.01,forte,arco-normal,bowed,Amaj7_141709_256709_360709_449709o.wav,Amaj7_141709_256709_360709_449709o.wav
10,23,33,42,major_seventh,forte,arco-normal,solo_wavs/solo_cello/cello_102809_forte_arco-normal.wav,1,10,09,28,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_230809_piano_arco-normal.wav,2,23,09,08,0.01,piano,arco-normal,bowed,solo_wavs/solo_violin2/violin2_333809_forte_arco-normal.wav,3,33,09,38,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_425809_forte_arco-normal.wav,4,42,09,58,0.01,forte,arco-normal,bowed,Asmaj7_102809_230809_333809_425809o.wav,Asmaj7_102809_230809_333809_425809o.wav
13,23,32,42,major_seventh,fortissimo,arco-normal,solo_wavs/solo_cello/cello_130409_fortissimo_arco-normal.wav,1,13,09,04,0.01,fortissimo,arco-normal,bowed,solo_wavs/solo_viola/viola_233409_forte_arco-normal.wav,2,23,09,34,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_325409_forte_arco-normal.wav,3,32,09,54,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_426409_forte_arco-normal.wav,4,42,09,64,0.01,forte,arco-normal,bowed,Asmaj7_130409_233409_325409_426409c.wav,Asmaj7_130409_233409_325409_426409c.wav
13,23,32,43,major_seventh,mezzo-piano,arco-normal,solo_wavs/solo_cello/cello_130609_mezzo-piano_arco-normal.wav,1,13,09,06,0.01,mezzo-piano,arco-normal,bowed,solo_wavs/solo_viola/viola_233609_forte_arco-normal.wav,2,23,09,36,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_325609_forte_arco-normal.wav,3,32,09,56,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_438609_forte_arco-normal.wav,4,43,09,86,0.01,forte,arco-normal,bowed,Asmaj7_130609_233609_325609_438609o.wav,Asmaj7_130609_233609_325609_438609o.wav
14,24,35,46,major_seventh,forte,arco-normal,solo_wavs/solo_cello/cello_145709_forte_arco-normal.wav,1,14,09,57,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_249709_forte_arco-normal.wav,2,24,09,97,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_350709_forte_arco-normal.wav,3,35,09,07,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_466709_forte_arco-normal.wav,4,46,09,67,0.01,forte,arco-normal,bowed,Asmaj7_145709_249709_350709_466709o.wav,Asmaj7_145709_249709_350709_466709o.wav
11,23,32,42,major_seventh,forte,arco-normal,solo_wavs/solo_cello/cello_119409_forte_arco-normal.wav,1,11,09,94,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_234409_forte_arco-normal.wav,2,23,09,44,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_326409_forte_arco-normal.wav,3,32,09,64,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_427409_forte_arco-normal.wav,4,42,09,74,0.01,forte,arco-normal,bowed,Bmaj7_119409_234409_326409_427409o.wav,Bmaj7_119409_234409_326409_427409o.wav
