cello_pitch,viola_pitch,violin2_pitch,violin1_pitch,chord_type,dynamic,technique,cello_file,cello_instrument_code,cello_pitch_code,cello_technique_code,cello_dynamic_code,cello_audible_duration,cello_dynamic,cello_technique,cello_family,viola_file,viola_instrument_code,viola_pitch_code,viola_technique_code,viola_dynamic_code,viola_audible_duration,viola_dynamic,viola_technique,viola_family,violin2_file,violin2_instrument_code,violin2_pitch_code,violin2_technique_code,violin2_dynamic_code,violin2_audible_duration,violin2_dynamic,violin2_technique,violin2_family,violin1_file,violin1_instrument_code,violin1_pitch_code,violin1_technique_code,violin1_dynamic_code,violin1_audible_duration,violin1_dynamic,violin1_technique,violin1_family,wav_filename,chord_filename
10,21,33,43,minor_seventh,mezzo-piano,non-vibrato,solo_wavs/solo_cello/cello_101617_mezzo-piano_non-vibrato.wav,1,10,17,16,0.01,mezzo-piano,non-vibrato,bowed,solo_wavs/solo_viola/viola_216617_mezzo-piano_non-vibrato.wav,2,21,17,66,0.01,mezzo-piano,non-vibrato,bowed,solo_wavs/solo_violin2/violin2_332617_mezzo-piano_non-vibrato.wav,3,33,17,26,0.01,mezzo-piano,non-vibrato,bowed,solo_wavs/solo_violin1/violin1_435617_mezzo-piano_non-vibrato.wav,4,43,17,56,0.01,mezzo-piano,non-vibrato,bowed,Amin7_101617_216617_332617_435617o.wav,Amin7_101617_216617_332617_435617o.wav
11,21,32,43,minor_seventh,forte,arco-normal,solo_wavs/solo_cello/cello_111309_forte_arco-normal.wav,1,11,09,13,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_213309_forte_arco-normal.wav,2,21,09,33,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_328309_forte_arco-normal.wav,3,32,09,83,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_432309_forte_arco-normal.wav,4,43,09,23,0.01,forte,arco-normal,bowed,Amin7_111309_213309_328309_432309o.wav,Amin7_111309_213309_328309_432309o.wav
12,22,32,44,minor_seventh,fortissimo,arco-normal,solo_wavs/solo_cello/cello_120409_fortissimo_arco-normal.wav,1,12,09,04,0.01,fortissimo,arco-normal,bowed,solo_wavs/solo_viola/viola_223409_forte_arco-normal.wav,2,22,09,34,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_325409_forte_arco-normal.wav,3,32,09,54,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_440409_fortissimo_arco-normal.wav,4,44,09,04,0.01,fortissimo,arco-normal,bowed,Amin7_120409_223409_325409_440409o.wav,Amin7_120409_223409_325409_440409o.wav
12,21,32,44,minor_seventh,forte,arco-normal,solo_wavs/solo_cello/cello_123809_forte_arco-normal.wav,1,12,09,38,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_213809_forte_arco-normal.wav,2,21,09,38,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_328809_forte_arco-normal.wav,3,32,09,88,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_444809_forte_arco-normal.wav,4,44,09,48,0.01,forte,arco-normal,bowed,Amin7_123809_213809_328809_444809o.wav,Amin7_123809_213809_328809_444809o.wav
12,23,33,43,minor_seventh,forte,arco-normal,solo_wavs/solo_cello/cello_128609_forte_arco-normal.wav,1,12,09,86,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_232609_forte_arco-normal.wav,2,23,09,26,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_335609_forte_arco-normal.wav,3,33,09,56,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_437609_forte_arco-normal.wav,4,43,09,76,0.01,forte,arco-normal,bowed,Amin7_128609_232609_335609_437609o.wav,Amin7_128609_232609_335609_437609o.wav
14,24,36,46,minor_seventh,forte,arco-normal,solo_wavs/solo_cello/cello_147709_forte_arco-normal.wav,1,14,09,77,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_249709_forte_arco-normal.wav,2,24,09,97,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_364709_forte_arco-normal.wav,3,36,09,47,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_468709_forte_arco-normal.wav,4,46,09,87,0.01,forte,arco-normal,bowed,Amin7_147709_249709_364709_468709o.wav,Amin7_147709_249709_364709_468709o.wav
11,22,34,44,minor_seventh,forte,arco-normal,solo_wavs/solo_cello/cello_114709_forte_arco-normal.wav,1,11,09,47,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_229709_forte_arco-normal.wav,2,22,09,97,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_345709_forte_arco-normal.wav,3,34,09,57,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_448709_forte_arco-normal.wav,4,44,09,87,0.01,forte,arco-normal,bowed,Asmin7_114709_229709_345709_448709o.wav,Asmin7_114709_229709_345709_448709o.wav
12,22,31,42,minor_seventh,fortissimo,arco-normal,solo_wavs/solo_cello/cello_121409_fortissimo_arco-normal.wav,1,12,09,14,0.01,fortissimo,arco-normal,bowed,solo_wavs/solo_viola/viola_224409_forte_arco-normal.wav,2,22,09,44,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_314409_forte_arco-normal.wav,3,31,09,44,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_429409_forte_arco-normal.wav,4,42,09,94,0.01,forte,arco-normal,bowed,Asmin7_121409_224409_314409_429409c.wav,Asmin7_121409_224409_314409_429409c.wav
12,22,31,44,minor_seventh,mezzo-piano,arco-normal,solo_wavs/solo_cello/cello_121709_mezzo-piano_arco-normal.wav,1,12,09,17,0.01,mezzo-piano,arco-normal,bowed,solo_wavs/solo_viola/viola_224709_forte_arco-normal.wav,2,22,09,47,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_314709_forte_arco-normal.wav,3,31,09,47,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_441709_mezzo-piano_arco-normal.wav,4,44,09,17,0.01,mezzo-piano,arco-normal,bowed,Asmin7_121709_224709_314709_441709o.wav,Asmin7_121709_224709_314709_441709o.wav
12,22,31,44,minor_seventh,forte,arco-normal,solo_wavs/solo_cello/cello_121809_forte_arco-normal.wav,1,12,09,18,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_224809_forte_arco-normal.wav,2,22,09,48,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin2/violin2_314809_forte_arco-normal.wav,3,31,09,48,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_441809_forte_arco-normal.wav,4,44,09,18,0.01,forte,arco-normal,bowed,Asmin7_121809_224809_314809_441809o.wav,Asmin7_121809_224809_314809_441809o.wav
