cello_pitch,viola_pitch,interval,semitones,dynamic,technique,cello_file,cello_instrument_code,cello_pitch_code,cello_technique_code,cello_dynamic_code,cello_audible_duration,cello_dynamic,cello_technique,cello_family,viola_file,viola_instrument_code,viola_pitch_code,viola_technique_code,viola_dynamic_code,viola_audible_duration,viola_dynamic,viola_technique,viola_family,wav_filename,chord_filename
10,21,cello viola,,mezzo-piano,arco-normal,solo_wavs/solo_cello/cello_101709_mezzo-piano_arco-normal.wav,1,10,09,17,0.01,mezzo-piano,arco-normal,bowed,solo_wavs/solo_viola/viola_219515_pianissimo_arco-col-legno-battuto.wav,2,21,15,95,0.01,pianissimo,arco-col-legno-battuto,col_legno,101709_219515.wav,101709_219515.wav
10,22,cello viola,,forte,arco-normal,solo_wavs/solo_cello/cello_101809_forte_arco-normal.wav,1,10,09,18,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_222409_forte_arco-normal.wav,2,22,09,24,0.01,forte,arco-normal,bowed,101809_222409.wav,101809_222409.wav
10,22,cello viola,,pianissimo,arco-normal,solo_wavs/solo_cello/cello_102502_pianissimo_arco-normal.wav,1,10,02,25,0.01,pianissimo,arco-normal,bowed,solo_wavs/solo_viola/viola_223609_forte_arco-normal.wav,2,22,09,36,0.01,forte,arco-normal,bowed,102502_223609.wav,102502_223609.wav
10,21,cello viola,,mezzo-piano,non-vibrato,solo_wavs/solo_cello/cello_102617_mezzo-piano_non-vibrato.wav,1,10,17,26,0.01,mezzo-piano,non-vibrato,bowed,solo_wavs/solo_viola/viola_217709_forte_arco-normal.wav,2,21,09,77,0.01,forte,arco-normal,bowed,102617_217709.wav,102617_217709.wav
10,21,cello viola,,pianissimo,arco-normal,solo_wavs/solo_cello/cello_103502_pianissimo_arco-normal.wav,1,10,02,35,0.01,pianissimo,arco-normal,bowed,solo_wavs/solo_viola/viola_213309_forte_arco-normal.wav,2,21,09,33,0.01,forte,arco-normal,bowed,103502_213309.wav,103502_213309.wav
10,21,cello viola,,pianissimo,arco-normal,solo_wavs/solo_cello/cello_103502_pianissimo_arco-normal.wav,1,10,02,35,0.01,pianissimo,arco-normal,bowed,solo_wavs/solo_viola/viola_217709_forte_arco-normal.wav,2,21,09,77,0.01,forte,arco-normal,bowed,103502_217709.wav,103502_217709.wav
10,22,cello viola,,pianissimo,arco-normal,solo_wavs/solo_cello/cello_103502_pianissimo_arco-normal.wav,1,10,02,35,0.01,pianissimo,arco-normal,bowed,solo_wavs/solo_viola/viola_224609_forte_arco-normal.wav,2,22,09,46,0.01,forte,arco-normal,bowed,103502_224609.wav,103502_224609.wav
10,21,cello viola,,mezzo-piano,arco-normal,solo_wavs/solo_cello/cello_103606_mezzo-piano_arco-normal.wav,1,10,06,36,0.01,mezzo-piano,arco-normal,bowed,solo_wavs/solo_viola/viola_217804_fortissimo_arco-normal.wav,2,21,04,78,0.01,fortissimo,arco-normal,bowed,103606_217804.wav,103606_217804.wav
10,21,cello viola,,pianissimo,arco-normal,solo_wavs/solo_cello/cello_105502_pianissimo_arco-normal.wav,1,10,02,55,0.01,pianissimo,arco-normal,bowed,solo_wavs/solo_viola/viola_215409_forte_arco-normal.wav,2,21,09,54,0.01,forte,arco-normal,bowed,105502_215409.wav,105502_215409.wav
10,21,cello viola,,pianissimo,arco-normal,solo_wavs/solo_cello/cello_105502_pianissimo_arco-normal.wav,1,10,02,55,0.01,pianissimo,arco-normal,bowed,solo_wavs/solo_viola/viola_219809_forte_arco-normal.wav,2,21,09,98,0.01,forte,arco-normal,bowed,105502_219809.wav,105502_219809.wav
10,21,cello viola,,forte,arco-normal,solo_wavs/solo_cello/cello_106309_forte_arco-normal.wav,1,10,09,63,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_215609_forte_arco-normal.wav,2,21,09,56,0.01,forte,arco-normal,bowed,106309_215609.wav,106309_215609.wav
10,22,cello viola,,pianissimo,arco-normal,solo_wavs/solo_cello/cello_107502_pianissimo_arco-normal.wav,1,10,02,75,0.01,pianissimo,arco-normal,bowed,solo_wavs/solo_viola/viola_220809_piano_arco-normal.wav,2,22,09,08,0.01,piano,arco-normal,bowed,107502_220809.wav,107502_220809.wav
10,22,cello viola,,forte,arco-normal,solo_wavs/solo_cello/cello_107709_forte_arco-normal.wav,1,10,09,77,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_220609_mezzo-piano_arco-normal.wav,2,22,09,06,0.01,mezzo-piano,arco-normal,bowed,107709_220609.wav,107709_220609.wav
11,21,cello viola,,mezzo-piano,arco-normal,solo_wavs/solo_cello/cello_111806_mezzo-piano_arco-normal.wav,1,11,06,18,0.01,mezzo-piano,arco-normal,bowed,solo_wavs/solo_viola/viola_215809_forte_arco-normal.wav,2,21,09,58,0.01,forte,arco-normal,bowed,111806_215809.wav,111806_215809.wav
11,22,cello viola,,forte,arco-normal,solo_wavs/solo_cello/cello_112309_forte_arco-normal.wav,1,11,09,23,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_221609_forte_arco-normal.wav,2,22,09,16,0.01,forte,arco-normal,bowed,112309_221609.wav,112309_221609.wav
11,22,cello viola,,pianissimo,arco-col-legno-battuto,solo_wavs/solo_cello/cello_112615_pianissimo_arco-col-legno-battuto.wav,1,11,15,26,0.01,pianissimo,arco-col-legno-battuto,col_legno,solo_wavs/solo_viola/viola_220809_piano_arco-normal.wav,2,22,09,08,0.01,piano,arco-normal,bowed,112615_220809.wav,112615_220809.wav
11,21,cello viola,,forte,arco-normal,solo_wavs/solo_cello/cello_113309_forte_arco-normal.wav,1,11,09,33,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_219819_piano_pizz-normal.wav,2,21,19,98,0.01,piano,pizz-normal,plucked,113309_219819.wav,113309_219819.wav
11,21,cello viola,,forte,arco-normal,solo_wavs/solo_cello/cello_113409_forte_arco-normal.wav,1,11,09,34,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_216508_piano_arco-minor-trill.wav,2,21,08,65,0.01,piano,arco-minor-trill,bowed,113409_216508.wav,113409_216508.wav
