cello_pitch,viola_pitch,interval,semitones,dynamic,technique,cello_file,cello_instrument_code,cello_pitch_code,cello_technique_code,cello_dynamic_code,cello_audible_duration,cello_dynamic,cello_technique,cello_family,viola_file,viola_instrument_code,viola_pitch_code,viola_technique_code,viola_dynamic_code,viola_audible_duration,viola_dynamic,viola_technique,viola_family,wav_filename,chord_filename
10,,cello violin,,forte,arco-normal,solo_wavs/solo_cello/cello_102309_forte_arco-normal.wav,1,10,09,23,0.01,forte,arco-normal,bowed,,,,,,,,,,102309_415809.wav,102309_415809.wav
10,,cello violin,,pianissimo,arco-normal,solo_wavs/solo_cello/cello_102502_pianissimo_arco-normal.wav,1,10,02,25,0.01,pianissimo,arco-normal,bowed,,,,,,,,,,102502_413809.wav,102502_413809.wav
10,,cello violin,,forte,arco-normal,solo_wavs/solo_cello/cello_103309_forte_arco-normal.wav,1,10,09,33,0.01,forte,arco-normal,bowed,,,,,,,,,,103309_415509.wav,103309_415509.wav
10,,cello violin,,pianissimo,arco-normal,solo_wavs/solo_cello/cello_103502_pianissimo_arco-normal.wav,1,10,02,35,0.01,pianissimo,arco-normal,bowed,,,,,,,,,,103502_414618.wav,103502_414618.wav
10,,cello violin,,pianissimo,arco-normal,solo_wavs/solo_cello/cello_104502_pianissimo_arco-normal.wav,1,10,02,45,0.01,pianissimo,arco-normal,bowed,,,,,,,,,,104502_425409.wav,104502_425409.wav
10,,cello violin,,forte,arco-normal,solo_wavs/solo_cello/cello_105409_forte_arco-normal.wav,1,10,09,54,0.01,forte,arco-normal,bowed,,,,,,,,,,105409_415309.wav,105409_415309.wav
10,,cello violin,,forte,arco-normal,solo_wavs/solo_cello/cello_106409_forte_arco-normal.wav,1,10,09,64,0.01,forte,arco-normal,bowed,,,,,,,,,,106409_423809.wav,106409_423809.wav
10,,cello violin,,forte,arco-normal,solo_wavs/solo_cello/cello_106609_forte_arco-normal.wav,1,10,09,66,0.01,forte,arco-normal,bowed,,,,,,,,,,106609_415309.wav,106609_415309.wav
10,,cello violin,,pianissimo,arco-normal,solo_wavs/solo_cello/cello_107502_pianissimo_arco-normal.wav,1,10,02,75,0.01,pianissimo,arco-normal,bowed,,,,,,,,,,107502_413809.wav,107502_413809.wav
10,,cello violin,,pianissimo,arco-col-legno-battuto,solo_wavs/solo_cello/cello_107615_pianissimo_arco-col-legno-battuto.wav,1,10,15,76,0.01,pianissimo,arco-col-legno-battuto,col_legno,,,,,,,,,,107615_414802.wav,107615_414802.wav
10,,cello violin,,forte,arco-normal,solo_wavs/solo_cello/cello_109309_forte_arco-normal.wav,1,10,09,93,0.01,forte,arco-normal,bowed,,,,,,,,,,109309_429319.wav,109309_429319.wav
11,,cello violin,,piano,arco-normal,solo_wavs/solo_cello/cello_110809_piano_arco-normal.wav,1,11,09,08,0.01,piano,arco-normal,bowed,,,,,,,,,,110809_430314.wav,110809_430314.wav
11,,cello violin,,pianissimo,arco-normal,solo_wavs/solo_cello/cello_113502_pianissimo_arco-normal.wav,1,11,02,35,0.01,pianissimo,arco-normal,bowed,,,,,,,,,,113502_430412.wav,113502_430412.wav
11,,cello violin,,forte,arco-normal,solo_wavs/solo_cello/cello_114709_forte_arco-normal.wav,1,11,09,47,0.01,forte,arco-normal,bowed,,,,,,,,,,114709_429315.wav,114709_429315.wav
11,,cello violin,,forte,arco-normal,solo_wavs/solo_cello/cello_116309_forte_arco-normal.wav,1,11,09,63,0.01,forte,arco-normal,bowed,,,,,,,,,,116309_424321.wav,116309_424321.wav
11,,cello violin,,forte,arco-normal,solo_wavs/solo_cello/cello_118609_forte_arco-normal.wav,1,11,09,86,0.01,forte,arco-normal,bowed,,,,,,,,,,118609_432515.wav,118609_432515.wav
11,,cello violin,,pianissimo,arco-normal,solo_wavs/solo_cello/cello_119502_pianissimo_arco-normal.wav,1,11,02,95,0.01,pianissimo,arco-normal,bowed,,,,,,,,,,119502_424618.wav,119502_424618.wav
11,,cello violin,,forte,arco-normal,solo_wavs/solo_cello/cello_119809_forte_arco-normal.wav,1,11,09,98,0.01,forte,arco-normal,bowed,,,,,,,,,,119809_440515.wav,119809_440515.wav
12,,cello violin,,piano,arco-normal,solo_wavs/solo_cello/cello_120309_piano_arco-normal.wav,1,12,09,03,0.01,piano,arco-normal,bowed,,,,,,,,,,120309_430409.wav,120309_430409.wav
