cello_pitch,viola_pitch,interval,semitones,dynamic,technique,cello_file,cello_instrument_code,cello_pitch_code,cello_technique_code,cello_dynamic_code,cello_audible_duration,cello_dynamic,cello_technique,cello_family,viola_file,viola_instrument_code,viola_pitch_code,viola_technique_code,viola_dynamic_code,viola_audible_duration,viola_dynamic,viola_technique,viola_family,wav_filename,chord_filename
,21,viola violin,,forte,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_213709_forte_arco-normal.wav,1,21,09,37,0.01,forte,arco-normal,bowed,213709_433315.wav,213709_433315.wav
,21,viola violin,,forte,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_214418_forte_arco-normal.wav,1,21,18,44,0.01,forte,arco-normal,bowed,214418_435319.wav,214418_435319.wav
,21,viola violin,,forte,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_214809_forte_arco-normal.wav,1,21,09,48,0.01,forte,arco-normal,bowed,214809_429609.wav,214809_429609.wav
,21,viola violin,,forte,natural-harmonic,,,,,,,,,,solo_wavs/solo_viola/viola_216421_forte_natural-harmonic.wav,1,21,21,64,0.01,forte,natural-harmonic,harmonic,216421_434809.wav,216421_434809.wav
,21,viola violin,,mezzo-piano,non-vibrato,,,,,,,,,,solo_wavs/solo_viola/viola_216617_mezzo-piano_non-vibrato.wav,1,21,17,66,0.01,mezzo-piano,non-vibrato,bowed,216617_434609.wav,216617_434609.wav
,21,viola violin,,forte,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_216809_forte_arco-normal.wav,1,21,09,68,0.01,forte,arco-normal,bowed,216809_430810.wav,216809_430810.wav
,21,viola violin,,forte,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_217709_forte_arco-normal.wav,1,21,09,77,0.01,forte,arco-normal,bowed,217709_434515.wav,217709_434515.wav
,21,viola violin,,forte,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_217809_forte_arco-normal.wav,1,21,09,78,0.01,forte,arco-normal,bowed,217809_435514.wav,217809_435514.wav
,21,viola violin,,forte,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_218309_forte_arco-normal.wav,1,21,09,83,0.01,forte,arco-normal,bowed,218309_427809.wav,218309_427809.wav
,21,viola violin,,mezzo-piano,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_218506_mezzo-piano_arco-normal.wav,1,21,06,85,0.01,mezzo-piano,arco-normal,bowed,218506_426309.wav,218506_426309.wav
,21,viola violin,,mezzo-piano,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_219506_mezzo-piano_arco-normal.wav,1,21,06,95,0.01,mezzo-piano,arco-normal,bowed,219506_433809.wav,219506_433809.wav
,21,viola violin,,fortissimo,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_219804_fortissimo_arco-normal.wav,1,21,04,98,0.01,fortissimo,arco-normal,bowed,219804_434409.wav,219804_434409.wav
,21,viola violin,,forte,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_219809_forte_arco-normal.wav,1,21,09,98,0.01,forte,arco-normal,bowed,219809_423817.wav,219809_423817.wav
