cello_pitch,viola_pitch,interval,semitones,dynamic,technique,cello_file,cello_instrument_code,cello_pitch_code,cello_technique_code,cello_dynamic_code,cello_audible_duration,cello_dynamic,cello_technique,cello_family,viola_file,viola_instrument_code,viola_pitch_code,viola_technique_code,viola_dynamic_code,viola_audible_duration,viola_dynamic,viola_technique,viola_family,wav_filename,chord_filename
10,22,cello viola,,forte,arco-normal,solo_wavs/solo_cello/cello_101309_forte_arco-normal.wav,1,10,09,13,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_221309_forte_arco-normal.wav,2,22,09,13,0.01,forte,arco-normal,bowed,101309_221309.wav,101309_221309.wav
10,21,cello viola,,forte,arco-normal,solo_wavs/solo_cello/cello_102609_forte_arco-normal.wav,1,10,09,26,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_213609_forte_arco-normal.wav,2,21,09,36,0.01,forte,arco-normal,bowed,102609_213609.wav,102609_213609.wav
10,21,cello viola,,forte,arco-normal,solo_wavs/solo_cello/cello_104609_forte_arco-normal.wav,1,10,09,46,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_217609_forte_arco-normal.wav,2,21,09,76,0.01,forte,arco-normal,bowed,104609_217609.wav,104609_217609.wav
10,21,cello viola,,forte,arco-normal,solo_wavs/solo_cello/cello_104609_forte_arco-normal.wav,1,10,09,46,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_219609_forte_arco-normal.wav,2,21,09,96,0.01,forte,arco-normal,bowed,104609_219609.wav,104609_219609.wav
10,21,cello viola,,mezzo-piano,non-vibrato,solo_wavs/solo_cello/cello_104617_mezzo-piano_non-vibrato.wav,1,10,17,46,0.01,mezzo-piano,non-vibrato,bowed,solo_wavs/solo_viola/viola_214617_mezzo-piano_non-vibrato.wav,2,21,17,46,0.01,mezzo-piano,non-vibrato,bowed,104617_214617.wav,104617_214617.wav
10,22,cello viola,,mezzo-piano,non-vibrato,solo_wavs/solo_cello/cello_104617_mezzo-piano_non-vibrato.wav,1,10,17,46,0.01,mezzo-piano,non-vibrato,bowed,solo_wavs/solo_viola/viola_224617_mezzo-piano_non-vibrato.wav,2,22,17,46,0.01,mezzo-piano,non-vibrato,bowed,104617_224617.wav,104617_224617.wav
10,21,cello viola,,forte,arco-normal,solo_wavs/solo_cello/cello_105409_forte_arco-normal.wav,1,10,09,54,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_217409_forte_arco-normal.wav,2,21,09,74,0.01,forte,arco-normal,bowed,105409_217409.wav,105409_217409.wav
10,21,cello viola,,forte,arco-normal,solo_wavs/solo_cello/cello_107409_forte_arco-normal.wav,1,10,09,74,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_215409_forte_arco-normal.wav,2,21,09,54,0.01,forte,arco-normal,bowed,107409_215409.wav,107409_215409.wav
10,22,cello viola,,forte,arco-normal,solo_wavs/solo_cello/cello_107609_forte_arco-normal.wav,1,10,09,76,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_228609_forte_arco-normal.wav,2,22,09,86,0.01,forte,arco-normal,bowed,107609_228609.wav,107609_228609.wav
10,22,cello viola,,forte,arco-normal,solo_wavs/solo_cello/cello_108709_forte_arco-normal.wav,1,10,09,87,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_229709_forte_arco-normal.wav,2,22,09,97,0.01,forte,arco-normal,bowed,108709_229709.wav,108709_229709.wav
