cello_pitch,viola_pitch,interval,semitones,dynamic,technique,cello_file,cello_instrument_code,cello_pitch_code,cello_technique_code,cello_dynamic_code,cello_audible_duration,cello_dynamic,cello_technique,cello_family,viola_file,viola_instrument_code,viola_pitch_code,viola_technique_code,viola_dynamic_code,viola_audible_duration,viola_dynamic,viola_technique,viola_family,wav_filename,chord_filename
10,,cello violin,,forte,arco-normal,solo_wavs/solo_cello/cello_103709_forte_arco-normal.wav,1,10,09,37,0.01,forte,arco-normal,bowed,,,,,,,,,,103709_424709.wav,103709_424709.wav
10,,cello violin,,forte,arco-normal,solo_wavs/solo_cello/cello_105409_forte_arco-normal.wav,1,10,09,54,0.01,forte,arco-normal,bowed,,,,,,,,,,105409_423409.wav,105409_423409.wav
10,,cello violin,,forte,arco-normal,solo_wavs/solo_cello/cello_106409_forte_arco-normal.wav,1,10,09,64,0.01,forte,arco-normal,bowed,,,,,,,,,,106409_427409.wav,106409_427409.wav
10,,cello violin,,forte,arco-normal,solo_wavs/solo_cello/cello_107309_forte_arco-normal.wav,1,10,09,73,0.01,forte,arco-normal,bowed,,,,,,,,,,107309_425309.wav,107309_425309.wav
10,,cello violin,,forte,arco-normal,solo_wavs/solo_cello/cello_107409_forte_arco-normal.wav,1,10,09,74,0.01,forte,arco-normal,bowed,,,,,,,,,,107409_427409.wav,107409_427409.wav
10,,cello violin,,forte,arco-normal,solo_wavs/solo_cello/cello_109309_forte_arco-normal.wav,1,10,09,93,0.01,forte,arco-normal,bowed,,,,,,,,,,109309_427309.wav,109309_427309.wav
11,,cello violin,,fortissimo,arco-normal,solo_wavs/solo_cello/cello_110409_fortissimo_arco-normal.wav,1,11,09,04,0.01,fortissimo,arco-normal,bowed,,,,,,,,,,110409_430409.wav,110409_430409.wav
11,,cello violin,,forte,arco-normal,solo_wavs/solo_cello/cello_112709_forte_arco-normal.wav,1,11,09,27,0.01,forte,arco-normal,bowed,,,,,,,,,,112709_429709.wav,112709_429709.wav
11,,cello violin,,forte,arco-normal,solo_wavs/solo_cello/cello_112709_forte_arco-normal.wav,1,11,09,27,0.01,forte,arco-normal,bowed,,,,,,,,,,112709_433709.wav,112709_433709.wav
11,,cello violin,,forte,arco-normal,solo_wavs/solo_cello/cello_115409_forte_arco-normal.wav,1,11,09,54,0.01,forte,arco-normal,bowed,,,,,,,,,,115409_415409.wav,115409_415409.wav
11,,cello violin,,forte,arco-normal,solo_wavs/solo_cello/cello_115409_forte_arco-normal.wav,1,11,09,54,0.01,forte,arco-normal,bowed,,,,,,,,,,115409_429409.wav,115409_429409.wav
11,,cello violin,,forte,arco-normal,solo_wavs/solo_cello/cello_116809_forte_arco-normal.wav,1,11,09,68,0.01,forte,arco-normal,bowed,,,,,,,,,,116809_428809.wav,116809_428809.wav
11,,cello violin,,mezzo-piano,non-vibrato,solo_wavs/solo_cello/cello_117617_mezzo-piano_non-vibrato.wav,1,11,17,76,0.01,mezzo-piano,non-vibrato,bowed,,,,,,,,,,117617_435617.wav,117617_435617.wav
11,,cello violin,,forte,arco-normal,solo_wavs/solo_cello/cello_118709_forte_arco-normal.wav,1,11,09,87,0.01,forte,arco-normal,bowed,,,,,,,,,,118709_423709.wav,118709_423709.wav
11,,cello violin,,forte,arco-normal,solo_wavs/solo_cello/cello_119709_forte_arco-normal.wav,1,11,09,97,0.01,forte,arco-normal,bowed,,,,,,,,,,119709_440709.wav,119709_440709.wav
12,,cello violin,,piano,arco-normal,solo_wavs/solo_cello/cello_120809_piano_arco-normal.wav,1,12,09,08,0.01,piano,arco-normal,bowed,,,,,,,,,,120809_425809.wav,120809_425809.wav
12,,cello violin,,forte,arco-normal,solo_wavs/solo_cello/cello_121309_forte_arco-normal.wav,1,12,09,13,0.01,forte,arco-normal,bowed,,,,,,,,,,121309_439309.wav,121309_439309.wav
12,,cello violin,,forte,arco-normal,solo_wavs/solo_cello/cello_121609_forte_arco-normal.wav,1,12,09,16,0.01,forte,arco-normal,bowed,,,,,,,,,,121609_435609.wav,121609_435609.wav
12,,cello violin,,forte,arco-normal,solo_wavs/solo_cello/cello_122809_forte_arco-normal.wav,1,12,09,28,0.01,forte,arco-normal,bowed,,,,,,,,,,122809_425809.wav,122809_425809.wav
12,,cello violin,,forte,arco-normal,solo_wavs/solo_cello/cello_122809_forte_arco-normal.wav,1,12,09,28,0.01,forte,arco-normal,bowed,,,,,,,,,,122809_431809.wav,122809_431809.wav
