cello_pitch,viola_pitch,interval,semitones,dynamic,technique,cello_file,cello_instrument_code,cello_pitch_code,cello_technique_code,cello_dynamic_code,cello_audible_duration,cello_dynamic,cello_technique,cello_family,viola_file,viola_instrument_code,viola_pitch_code,viola_technique_code,viola_dynamic_code,viola_audible_duration,viola_dynamic,viola_technique,viola_family,wav_filename,chord_filename
,21,viola violin,,forte,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_214409_forte_arco-normal.wav,1,21,09,44,0.01,forte,arco-normal,bowed,214409_423409.wav,214409_423409.wav
,21,viola violin,,forte,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_215709_forte_arco-normal.wav,1,21,09,57,0.01,forte,arco-normal,bowed,215709_436709.wav,215709_436709.wav
,21,viola violin,,forte,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_216809_forte_arco-normal.wav,1,21,09,68,0.01,forte,arco-normal,bowed,216809_431809.wav,216809_431809.wav
,21,viola violin,,piano,pizz-normal,,,,,,,,,,solo_wavs/solo_viola/viola_216819_piano_pizz-normal.wav,1,21,19,68,0.01,piano,pizz-normal,plucked,216819_423819.wav,216819_423819.wav
,21,viola violin,,pianissimo,arco-col-legno-battuto,,,,,,,,,,solo_wavs/solo_viola/viola_217515_pianissimo_arco-col-legno-battuto.wav,1,21,15,75,0.01,pianissimo,arco-col-legno-battuto,col_legno,217515_435515.wav,217515_435515.wav
,21,viola violin,,forte,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_218709_forte_arco-normal.wav,1,21,09,87,0.01,forte,arco-normal,bowed,218709_426709.wav,218709_426709.wav
,21,viola violin,,pianissimo,arco-col-legno-battuto,,,,,,,,,,solo_wavs/solo_viola/viola_219515_pianissimo_arco-col-legno-battuto.wav,1,21,15,95,0.01,pianissimo,arco-col-legno-battuto,col_legno,219515_432515.wav,219515_432515.wav
,21,viola violin,,forte,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_219709_forte_arco-normal.wav,1,21,09,97,0.01,forte,arco-normal,bowed,219709_439709.wav,219709_439709.wav
,22,viola violin,,fortissimo,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_220409_fortissimo_arco-normal.wav,1,22,09,04,0.01,fortissimo,arco-normal,bowed,220409_435409.wav,220409_435409.wav
,22,viola violin,,mezzo-piano,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_220609_mezzo-piano_arco-normal.wav,1,22,09,06,0.01,mezzo-piano,arco-normal,bowed,220609_429609.wav,220609_429609.wav
,22,viola violin,,forte,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_220709_forte_arco-normal.wav,1,22,09,07,0.01,forte,arco-normal,bowed,220709_426709.wav,220709_426709.wav
,22,viola violin,,fortissimo,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_221409_fortissimo_arco-normal.wav,1,22,09,14,0.01,fortissimo,arco-normal,bowed,221409_435409.wav,221409_435409.wav
,22,viola violin,,forte,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_222309_forte_arco-normal.wav,1,22,09,23,0.01,forte,arco-normal,bowed,222309_442309.wav,222309_442309.wav
,22,viola violin,,forte,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_224409_forte_arco-normal.wav,1,22,09,44,0.01,forte,arco-normal,bowed,224409_428409.wav,224409_428409.wav
,22,viola violin,,forte,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_224409_forte_arco-normal.wav,1,22,09,44,0.01,forte,arco-normal,bowed,224409_431409.wav,224409_431409.wav
