cello_pitch,viola_pitch,violin1_pitch,chord_type,dynamic,technique,cello_file,cello_instrument_code,cello_pitch_code,cello_technique_code,cello_dynamic_code,cello_audible_duration,cello_dynamic,cello_technique,cello_family,viola_file,viola_instrument_code,viola_pitch_code,viola_technique_code,viola_dynamic_code,viola_audible_duration,viola_dynamic,viola_technique,viola_family,violin1_file,violin1_instrument_code,violin1_pitch_code,violin1_technique_code,violin1_dynamic_code,violin1_audible_duration,violin1_dynamic,violin1_technique,violin1_family,wav_filename,chord_filename
11,22,44,augmented,forte,arco-normal,solo_wavs/solo_cello/cello_113409_forte_arco-normal.wav,1,11,09,34,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_229409_forte_arco-normal.wav,2,22,09,94,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_445509_forte_arco-normal.wav,3,44,09,55,0.01,forte,arco-normal,bowed,Aaug113409_229409_445509o.wav,Aaug113409_229409_445509o.wav
11,24,44,augmented,forte,arco-normal,solo_wavs/solo_cello/cello_113409_forte_arco-normal.wav,1,11,09,34,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_241809_forte_arco-normal.wav,2,24,09,18,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_445702_pianissimo_arco-normal.wav,3,44,02,57,0.01,pianissimo,arco-normal,bowed,Aaug113409_241809_445702o.wav,Aaug113409_241809_445702o.wav
11,23,42,augmented,forte,arco-normal,solo_wavs/solo_cello/cello_117309_forte_arco-normal.wav,1,11,09,73,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_233409_forte_arco-normal.wav,2,23,09,34,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_425809_forte_arco-normal.wav,3,42,09,58,0.01,forte,arco-normal,bowed,Aaug117309_233409_425809o.wav,Aaug117309_233409_425809o.wav
12,21,44,augmented,forte,arco-normal,solo_wavs/solo_cello/cello_121309_forte_arco-normal.wav,1,12,09,13,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_213809_forte_arco-normal.wav,2,21,09,38,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_441609_forte_arco-normal.wav,3,44,09,16,0.01,forte,arco-normal,bowed,Aaug121309_213809_441609o.wav,Aaug121309_213809_441609o.wav
12,24,43,augmented,forte,arco-normal,solo_wavs/solo_cello/cello_129309_forte_arco-normal.wav,1,12,09,93,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_245709_forte_arco-normal.wav,2,24,09,57,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_437709_forte_arco-normal.wav,3,43,09,77,0.01,forte,arco-normal,bowed,Aaug129309_245709_437709o.wav,Aaug129309_245709_437709o.wav
13,22,44,augmented,forte,arco-normal,solo_wavs/solo_cello/cello_133309_forte_arco-normal.wav,1,13,09,33,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_225509_forte_arco-normal.wav,2,22,09,55,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_441609_forte_arco-normal.wav,3,44,09,16,0.01,forte,arco-normal,bowed,Aaug133309_225509_441609c.wav,Aaug133309_225509_441609c.wav
13,23,45,augmented,forte,arco-normal,solo_wavs/solo_cello/cello_133409_forte_arco-normal.wav,1,13,09,34,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_237709_forte_arco-normal.wav,2,23,09,77,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_453609_forte_arco-normal.wav,3,45,09,36,0.01,forte,arco-normal,bowed,Aaug133409_237709_453609o.wav,Aaug133409_237709_453609o.wav
10,23,43,augmented,forte,arco-normal,solo_wavs/solo_cello/cello_102609_forte_arco-normal.wav,1,10,09,26,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_230809_piano_arco-normal.wav,2,23,09,08,0.01,piano,arco-normal,bowed,solo_wavs/solo_violin1/violin1_434309_forte_arco-normal.wav,3,43,09,43,0.01,forte,arco-normal,bowed,Asaug102609_230809_434309o.wav,Asaug102609_230809_434309o.wav
12,24,45,augmented,forte,arco-normal,solo_wavs/solo_cello/cello_126309_forte_arco-normal.wav,1,12,09,63,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_242609_forte_arco-normal.wav,2,24,09,26,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_458809_forte_arco-normal.wav,3,45,09,88,0.01,forte,arco-normal,bowed,Asaug126309_242609_458809o.wav,Asaug126309_242609_458809o.wav
14,24,43,augmented,forte,arco-normal,solo_wavs/solo_cello/cello_142409_forte_arco-normal.wav,1,14,09,24,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_246409_forte_arco-normal.wav,2,24,09,64,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_438709_forte_arco-normal.wav,3,43,09,87,0.01,forte,arco-normal,bowed,Asaug142409_246409_438709c.wav,Asaug142409_246409_438709c.wav
14,25,46,augmented,forte,arco-normal,solo_wavs/solo_cello/cello_146309_forte_arco-normal.wav,1,14,09,63,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_250809_piano_arco-normal.wav,2,25,09,08,0.01,piano,arco-normal,bowed,solo_wavs/solo_violin1/violin1_466409_forte_arco-normal.wav,3,46,09,64,0.01,forte,arco-normal,bowed,Asaug146309_250809_466409o.wav,Asaug146309_250809_466409o.wav
11,21,43,augmented,pianissimo,arco-normal,solo_wavs/solo_cello/cello_111502_pianissimo_arco-normal.wav,1,11,02,15,0.01,pianissimo,arco-normal,bowed,solo_wavs/solo_viola/viola_215804_fortissimo_arco-normal.wav,2,21,04,58,0.01,fortissimo,arco-normal,bowed,solo_wavs/solo_violin1/violin1_431309_forte_arco-normal.wav,3,43,09,13,0.01,forte,arco-normal,bowed,Baug111502_215804_431309o.wav,Baug111502_215804_431309o.wav
11,22,42,augmented,forte,arco-normal,solo_wavs/solo_cello/cello_119409_forte_arco-normal.wav,1,11,09,94,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_223409_forte_arco-normal.wav,2,22,09,34,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_427819_piano_pizz-normal.wav,3,42,19,78,0.01,piano,pizz-normal,plucked,Baug119409_223409_427819o.wav,Baug119409_223409_427819o.wav
