cello_pitch,viola_pitch,violin1_pitch,chord_type,dynamic,technique,cello_file,cello_instrument_code,cello_pitch_code,cello_technique_code,cello_dynamic_code,cello_audible_duration,cello_dynamic,cello_technique,cello_family,viola_file,viola_instrument_code,viola_pitch_code,viola_technique_code,viola_dynamic_code,viola_audible_duration,viola_dynamic,viola_technique,viola_family,violin1_file,violin1_instrument_code,violin1_pitch_code,violin1_technique_code,violin1_dynamic_code,violin1_audible_duration,violin1_dynamic,violin1_technique,violin1_family,wav_filename,chord_filename
10,22,43,diminished,fortissimo,arco-normal,solo_wavs/solo_cello/cello_101409_fortissimo_arco-normal.wav,1,10,09,14,0.01,fortissimo,arco-normal,bowed,solo_wavs/solo_viola/viola_228809_forte_arco-normal.wav,2,22,09,88,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_431809_forte_arco-normal.wav,3,43,09,18,0.01,forte,arco-normal,bowed,Adim101409_228809_431809o.wav,Adim101409_228809_431809o.wav
11,22,44,diminished,forte,arco-normal,solo_wavs/solo_cello/cello_113309_forte_arco-normal.wav,1,11,09,33,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_228509_forte_arco-normal.wav,2,22,09,85,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_443709_forte_arco-normal.wav,3,44,09,37,0.01,forte,arco-normal,bowed,Adim113309_228509_443709o.wav,Adim113309_228509_443709o.wav
11,22,43,diminished,forte,arco-normal,solo_wavs/solo_cello/cello_113309_forte_arco-normal.wav,1,11,09,33,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_228809_forte_arco-normal.wav,2,22,09,88,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_431809_forte_arco-normal.wav,3,43,09,18,0.01,forte,arco-normal,bowed,Adim113309_228809_431809c.wav,Adim113309_228809_431809c.wav
11,24,44,diminished,forte,arco-normal,solo_wavs/solo_cello/cello_113409_forte_arco-normal.wav,1,11,09,34,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_240409_fortissimo_arco-normal.wav,2,24,09,04,0.01,fortissimo,arco-normal,bowed,solo_wavs/solo_violin1/violin1_443809_forte_arco-normal.wav,3,44,09,38,0.01,forte,arco-normal,bowed,Adim113409_240409_443809o.wav,Adim113409_240409_443809o.wav
12,24,45,diminished,forte,arco-normal,solo_wavs/solo_cello/cello_125309_forte_arco-normal.wav,1,12,09,53,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_240409_fortissimo_arco-normal.wav,2,24,09,04,0.01,fortissimo,arco-normal,bowed,solo_wavs/solo_violin1/violin1_455309_forte_arco-normal.wav,3,45,09,53,0.01,forte,arco-normal,bowed,Adim125309_240409_455309o.wav,Adim125309_240409_455309o.wav
12,25,45,diminished,pianissimo,arco-normal,solo_wavs/solo_cello/cello_125502_pianissimo_arco-normal.wav,1,12,02,55,0.01,pianissimo,arco-normal,bowed,solo_wavs/solo_viola/viola_252809_forte_arco-normal.wav,2,25,09,28,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_455802_pianissimo_arco-normal.wav,3,45,02,58,0.01,pianissimo,arco-normal,bowed,Adim125502_252809_455802o.wav,Adim125502_252809_455802o.wav
12,23,42,diminished,forte,arco-normal,solo_wavs/solo_cello/cello_128609_forte_arco-normal.wav,1,12,09,86,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_231515_pianissimo_arco-col-legno-battuto.wav,2,23,15,15,0.01,pianissimo,arco-col-legno-battuto,col_legno,solo_wavs/solo_violin1/violin1_425309_forte_arco-normal.wav,3,42,09,53,0.01,forte,arco-normal,bowed,Adim128609_231515_425309c.wav,Adim128609_231515_425309c.wav
13,22,44,diminished,fortissimo,arco-normal,solo_wavs/solo_cello/cello_131409_fortissimo_arco-normal.wav,1,13,09,14,0.01,fortissimo,arco-normal,bowed,solo_wavs/solo_viola/viola_225509_forte_arco-normal.wav,2,22,09,55,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_440409_fortissimo_arco-normal.wav,3,44,09,04,0.01,fortissimo,arco-normal,bowed,Adim131409_225509_440409c.wav,Adim131409_225509_440409c.wav
13,26,46,diminished,forte,arco-normal,solo_wavs/solo_cello/cello_137609_forte_arco-normal.wav,1,13,09,76,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_264809_forte_arco-normal.wav,2,26,09,48,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_467709_forte_arco-normal.wav,3,46,09,77,0.01,forte,arco-normal,bowed,Adim137609_264809_467709o.wav,Adim137609_264809_467709o.wav
14,23,45,diminished,forte,arco-normal,solo_wavs/solo_cello/cello_143409_forte_arco-normal.wav,1,14,09,34,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_237409_forte_arco-normal.wav,2,23,09,74,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_452409_forte_arco-normal.wav,3,45,09,24,0.01,forte,arco-normal,bowed,Adim143409_237409_452409c.wav,Adim143409_237409_452409c.wav
15,25,44,diminished,forte,arco-normal,solo_wavs/solo_cello/cello_152609_forte_arco-normal.wav,1,15,09,26,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_255506_mezzo-piano_arco-normal.wav,2,25,06,55,0.01,mezzo-piano,arco-normal,bowed,solo_wavs/solo_violin1/violin1_449509_forte_arco-normal.wav,3,44,09,95,0.01,forte,arco-normal,bowed,Adim152609_255506_449509c.wav,Adim152609_255506_449509c.wav
10,21,43,diminished,forte,arco-normal,solo_wavs/solo_cello/cello_102409_forte_arco-normal.wav,1,10,09,24,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_217809_forte_arco-normal.wav,2,21,09,78,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_432809_forte_arco-normal.wav,3,43,09,28,0.01,forte,arco-normal,bowed,Asdim102409_217809_432809o.wav,Asdim102409_217809_432809o.wav
11,22,44,diminished,forte,arco-normal,solo_wavs/solo_cello/cello_114409_forte_arco-normal.wav,1,11,09,44,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_229819_piano_pizz-normal.wav,2,22,19,98,0.01,piano,pizz-normal,plucked,solo_wavs/solo_violin1/violin1_444509_forte_arco-normal.wav,3,44,09,45,0.01,forte,arco-normal,bowed,Asdim114409_229819_444509o.wav,Asdim114409_229819_444509o.wav
12,21,42,diminished,fortissimo,arco-normal,solo_wavs/solo_cello/cello_120409_fortissimo_arco-normal.wav,1,12,09,04,0.01,fortissimo,arco-normal,bowed,solo_wavs/solo_viola/viola_214309_forte_arco-normal.wav,2,21,09,43,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_429509_forte_arco-normal.wav,3,42,09,95,0.01,forte,arco-normal,bowed,Asdim120409_214309_429509c.wav,Asdim120409_214309_429509c.wav
12,21,44,diminished,piano,arco-normal,solo_wavs/solo_cello/cello_120809_piano_arco-normal.wav,1,12,09,08,0.01,piano,arco-normal,bowed,solo_wavs/solo_viola/viola_214819_piano_pizz-normal.wav,2,21,19,48,0.01,piano,pizz-normal,plucked,solo_wavs/solo_violin1/violin1_441509_pianissimo_arco-normal.wav,3,44,09,15,0.01,pianissimo,arco-normal,bowed,Asdim120809_214819_441509o.wav,Asdim120809_214819_441509o.wav
