cello_pitch,viola_pitch,violin1_pitch,chord_type,dynamic,technique,cello_file,cello_instrument_code,cello_pitch_code,cello_technique_code,cello_dynamic_code,cello_audible_duration,cello_dynamic,cello_technique,cello_family,viola_file,viola_instrument_code,viola_pitch_code,viola_technique_code,viola_dynamic_code,viola_audible_duration,viola_dynamic,viola_technique,viola_family,violin1_file,violin1_instrument_code,violin1_pitch_code,violin1_technique_code,violin1_dynamic_code,violin1_audible_duration,violin1_dynamic,violin1_technique,violin1_family,wav_filename,chord_filename
10,21,43,major,forte,arco-normal,solo_wavs/solo_cello/cello_101309_forte_arco-normal.wav,1,10,09,13,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_217409_forte_arco-normal.wav,2,21,09,74,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_432309_forte_arco-normal.wav,3,43,09,23,0.01,forte,arco-normal,bowed,Amaj101309_217409_432309o.wav,Amaj101309_217409_432309o.wav
10,22,43,major,forte,arco-normal,solo_wavs/solo_cello/cello_101609_forte_arco-normal.wav,1,10,09,16,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_229809_forte_arco-normal.wav,2,22,09,98,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_432509_forte_arco-normal.wav,3,43,09,25,0.01,forte,arco-normal,bowed,Amaj101609_229809_432509o.wav,Amaj101609_229809_432509o.wav
10,22,41,major,forte,arco-normal,solo_wavs/solo_cello/cello_105409_forte_arco-normal.wav,1,10,09,54,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_220609_mezzo-piano_arco-normal.wav,2,22,09,06,0.01,mezzo-piano,arco-normal,bowed,solo_wavs/solo_violin1/violin1_413809_forte_arco-normal.wav,3,41,09,38,0.01,forte,arco-normal,bowed,Amaj105409_220609_413809o.wav,Amaj105409_220609_413809o.wav
11,22,43,major,pianissimo,arco-normal,solo_wavs/solo_cello/cello_113502_pianissimo_arco-normal.wav,1,11,02,35,0.01,pianissimo,arco-normal,bowed,solo_wavs/solo_viola/viola_229709_forte_arco-normal.wav,2,22,09,97,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_432709_forte_arco-normal.wav,3,43,09,27,0.01,forte,arco-normal,bowed,Amaj113502_229709_432709c.wav,Amaj113502_229709_432709c.wav
12,23,42,major,forte,arco-normal,solo_wavs/solo_cello/cello_129409_forte_arco-normal.wav,1,12,09,94,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_232409_forte_arco-normal.wav,2,23,09,24,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_425709_forte_arco-normal.wav,3,42,09,57,0.01,forte,arco-normal,bowed,Amaj129409_232409_425709c.wav,Amaj129409_232409_425709c.wav
13,22,44,major,forte,arco-normal,solo_wavs/solo_cello/cello_132709_forte_arco-normal.wav,1,13,09,27,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_225309_forte_arco-normal.wav,2,22,09,53,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_441809_forte_arco-normal.wav,3,44,09,18,0.01,forte,arco-normal,bowed,Amaj132709_225309_441809c.wav,Amaj132709_225309_441809c.wav
13,22,45,major,forte,arco-normal,solo_wavs/solo_cello/cello_132709_forte_arco-normal.wav,1,13,09,27,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_225509_forte_arco-normal.wav,2,22,09,55,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_453609_forte_arco-normal.wav,3,45,09,36,0.01,forte,arco-normal,bowed,Amaj132709_225509_453609o.wav,Amaj132709_225509_453609o.wav
13,25,46,major,forte,arco-normal,solo_wavs/solo_cello/cello_137609_forte_arco-normal.wav,1,13,09,76,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_253409_forte_arco-normal.wav,2,25,09,34,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_468509_forte_arco-normal.wav,3,46,09,85,0.01,forte,arco-normal,bowed,Amaj137609_253409_468509o.wav,Amaj137609_253409_468509o.wav
14,23,45,major,forte,arco-normal,solo_wavs/solo_cello/cello_144609_forte_arco-normal.wav,1,14,09,46,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_237809_forte_arco-normal.wav,2,23,09,78,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_453309_forte_arco-normal.wav,3,45,09,33,0.01,forte,arco-normal,bowed,Amaj144609_237809_453309c.wav,Amaj144609_237809_453309c.wav
10,23,43,major,forte,arco-normal,solo_wavs/solo_cello/cello_102309_forte_arco-normal.wav,1,10,09,23,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_230409_fortissimo_arco-normal.wav,2,23,09,04,0.01,fortissimo,arco-normal,bowed,solo_wavs/solo_violin1/violin1_433609_forte_arco-normal.wav,3,43,09,36,0.01,forte,arco-normal,bowed,Asmaj102309_230409_433609o.wav,Asmaj102309_230409_433609o.wav
10,21,43,major,forte,arco-normal,solo_wavs/solo_cello/cello_102409_forte_arco-normal.wav,1,10,09,24,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_218409_forte_arco-normal.wav,2,21,09,84,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_433509_forte_arco-normal.wav,3,43,09,35,0.01,forte,arco-normal,bowed,Asmaj102409_218409_433509o.wav,Asmaj102409_218409_433509o.wav
11,23,44,major,forte,arco-normal,solo_wavs/solo_cello/cello_114309_forte_arco-normal.wav,1,11,09,43,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_230809_piano_arco-normal.wav,2,23,09,08,0.01,piano,arco-normal,bowed,solo_wavs/solo_violin1/violin1_445702_pianissimo_arco-normal.wav,3,44,02,57,0.01,pianissimo,arco-normal,bowed,Asmaj114309_230809_445702o.wav,Asmaj114309_230809_445702o.wav
11,23,42,major,forte,arco-normal,solo_wavs/solo_cello/cello_118709_forte_arco-normal.wav,1,11,09,87,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_233506_mezzo-piano_arco-normal.wav,2,23,06,35,0.01,mezzo-piano,arco-normal,bowed,solo_wavs/solo_violin1/violin1_426509_forte_arco-normal.wav,3,42,09,65,0.01,forte,arco-normal,bowed,Asmaj118709_233506_426509o.wav,Asmaj118709_233506_426509o.wav
12,24,45,major,forte,arco-normal,solo_wavs/solo_cello/cello_126309_forte_arco-normal.wav,1,12,09,63,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_242709_forte_arco-normal.wav,2,24,09,27,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_457609_forte_arco-normal.wav,3,45,09,76,0.01,forte,arco-normal,bowed,Asmaj126309_242709_457609o.wav,Asmaj126309_242709_457609o.wav
