cello_pitch,viola_pitch,violin1_pitch,chord_type,dynamic,technique,cello_file,cello_instrument_code,cello_pitch_code,cello_technique_code,cello_dynamic_code,cello_audible_duration,cello_dynamic,cello_technique,cello_family,viola_file,viola_instrument_code,viola_pitch_code,viola_technique_code,viola_dynamic_code,viola_audible_duration,viola_dynamic,viola_technique,viola_family,violin1_file,violin1_instrument_code,violin1_pitch_code,violin1_technique_code,violin1_dynamic_code,violin1_audible_duration,violin1_dynamic,violin1_technique,violin1_family,wav_filename,chord_filename
10,21,43,minor,pianissimo,arco-normal,solo_wavs/solo_cello/cello_101502_pianissimo_arco-normal.wav,1,10,02,15,0.01,pianissimo,arco-normal,bowed,solo_wavs/solo_viola/viola_216804_fortissimo_arco-normal.wav,2,21,04,68,0.01,fortissimo,arco-normal,bowed,solo_wavs/solo_violin1/violin1_432702_pianissimo_arco-normal.wav,3,43,02,27,0.01,pianissimo,arco-normal,bowed,Amin101502_216804_432702o.wav,Amin101502_216804_432702o.wav
11,22,44,minor,forte,arco-normal,solo_wavs/solo_cello/cello_113309_forte_arco-normal.wav,1,11,09,33,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_228609_forte_arco-normal.wav,2,22,09,86,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_444409_forte_arco-normal.wav,3,44,09,44,0.01,forte,arco-normal,bowed,Amin113309_228609_444409o.wav,Amin113309_228609_444409o.wav
11,22,44,minor,forte,arco-normal,solo_wavs/solo_cello/cello_113409_forte_arco-normal.wav,1,11,09,34,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_228409_forte_arco-normal.wav,2,22,09,84,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_444811_forte_arco-sul-tasto.wav,3,44,11,48,0.01,forte,arco-sul-tasto,bowed,Amin113409_228409_444811o.wav,Amin113409_228409_444811o.wav
11,22,41,minor,forte,arco-normal,solo_wavs/solo_cello/cello_116609_forte_arco-normal.wav,1,11,09,66,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_220809_piano_arco-normal.wav,2,22,09,08,0.01,piano,arco-normal,bowed,solo_wavs/solo_violin1/violin1_413409_forte_arco-normal.wav,3,41,09,34,0.01,forte,arco-normal,bowed,Amin116609_220809_413409c.wav,Amin116609_220809_413409c.wav
11,23,42,minor,forte,arco-normal,solo_wavs/solo_cello/cello_116809_forte_arco-normal.wav,1,11,09,68,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_232409_forte_arco-normal.wav,2,23,09,24,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_425609_forte_arco-normal.wav,3,42,09,56,0.01,forte,arco-normal,bowed,Amin116809_232409_425609o.wav,Amin116809_232409_425609o.wav
12,21,42,minor,fortissimo,arco-normal,solo_wavs/solo_cello/cello_120409_fortissimo_arco-normal.wav,1,12,09,04,0.01,fortissimo,arco-normal,bowed,solo_wavs/solo_viola/viola_213809_forte_arco-normal.wav,2,21,09,38,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_428509_forte_arco-normal.wav,3,42,09,85,0.01,forte,arco-normal,bowed,Amin120409_213809_428509c.wav,Amin120409_213809_428509c.wav
12,21,42,minor,mezzo-piano,arco-minor-trill,solo_wavs/solo_cello/cello_120608_mezzo-piano_arco-minor-trill.wav,1,12,08,06,0.01,mezzo-piano,arco-minor-trill,bowed,solo_wavs/solo_viola/viola_213809_forte_arco-normal.wav,2,21,09,38,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_428709_forte_arco-normal.wav,3,42,09,87,0.01,forte,arco-normal,bowed,Amin120608_213809_428709c.wav,Amin120608_213809_428709c.wav
12,24,44,minor,forte,arco-normal,solo_wavs/solo_cello/cello_125609_forte_arco-normal.wav,1,12,09,56,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_240409_fortissimo_arco-normal.wav,2,24,09,04,0.01,fortissimo,arco-normal,bowed,solo_wavs/solo_violin1/violin1_444510_mezzo-forte_arco-sul-ponticello.wav,3,44,10,45,0.01,mezzo-forte,arco-sul-ponticello,bowed,Amin125609_240409_444510c.wav,Amin125609_240409_444510c.wav
12,24,44,minor,pianissimo,arco-col-legno-battuto,solo_wavs/solo_cello/cello_125615_pianissimo_arco-col-legno-battuto.wav,1,12,15,56,0.01,pianissimo,arco-col-legno-battuto,col_legno,solo_wavs/solo_viola/viola_240409_fortissimo_arco-normal.wav,2,24,09,04,0.01,fortissimo,arco-normal,bowed,solo_wavs/solo_violin1/violin1_444509_forte_arco-normal.wav,3,44,09,45,0.01,forte,arco-normal,bowed,Amin125615_240409_444509c.wav,Amin125615_240409_444509c.wav
13,22,44,minor,forte,arco-normal,solo_wavs/solo_cello/cello_132309_forte_arco-normal.wav,1,13,09,23,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_225409_forte_arco-normal.wav,2,22,09,54,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_440809_piano_arco-normal.wav,3,44,09,08,0.01,piano,arco-normal,bowed,Amin132309_225409_440809c.wav,Amin132309_225409_440809c.wav
