cello_pitch,viola_pitch,violin1_pitch,chord_type,dynamic,technique,cello_file,cello_instrument_code,cello_pitch_code,cello_technique_code,cello_dynamic_code,cello_audible_duration,cello_dynamic,cello_technique,cello_family,viola_file,viola_instrument_code,viola_pitch_code,viola_technique_code,viola_dynamic_code,viola_audible_duration,viola_dynamic,viola_technique,viola_family,violin1_file,violin1_instrument_code,violin1_pitch_code,violin1_technique_code,violin1_dynamic_code,violin1_audible_duration,violin1_dynamic,violin1_technique,violin1_family,wav_filename,chord_filename
10,22,43,augmented,mezzo-piano,non-vibrato,solo_wavs/solo_cello/cello_101617_mezzo-piano_non-vibrato.wav,1,10,17,16,0.01,mezzo-piano,non-vibrato,bowed,solo_wavs/solo_viola/viola_229617_mezzo-piano_non-vibrato.wav,2,22,17,96,0.01,mezzo-piano,non-vibrato,bowed,solo_wavs/solo_violin1/violin1_433617_mezzo-piano_non-vibrato.wav,3,43,17,36,0.01,mezzo-piano,non-vibrato,bowed,Aaug101617_229617_433617o.wav,Aaug101617_229617_433617o.wav
10,22,43,augmented,mezzo-piano,arco-normal,solo_wavs/solo_cello/cello_101709_mezzo-piano_arco-normal.wav,1,10,09,17,0.01,mezzo-piano,arco-normal,bowed,solo_wavs/solo_viola/viola_229709_forte_arco-normal.wav,2,22,09,97,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_433709_forte_arco-normal.wav,3,43,09,37,0.01,forte,arco-normal,bowed,Aaug101709_229709_433709o.wav,Aaug101709_229709_433709o.wav
11,22,43,augmented,forte,arco-normal,solo_wavs/solo_cello/cello_113609_forte_arco-normal.wav,1,11,09,36,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_229609_forte_arco-normal.wav,2,22,09,96,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_433609_forte_arco-normal.wav,3,43,09,36,0.01,forte,arco-normal,bowed,Aaug113609_229609_433609c.wav,Aaug113609_229609_433609c.wav
11,22,42,augmented,forte,arco-normal,solo_wavs/solo_cello/cello_117809_forte_arco-normal.wav,1,11,09,78,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_221809_forte_arco-normal.wav,2,22,09,18,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_425809_forte_arco-normal.wav,3,42,09,58,0.01,forte,arco-normal,bowed,Aaug117809_221809_425809o.wav,Aaug117809_221809_425809o.wav
12,21,44,augmented,mezzo-piano,arco-normal,solo_wavs/solo_cello/cello_121709_mezzo-piano_arco-normal.wav,1,12,09,17,0.01,mezzo-piano,arco-normal,bowed,solo_wavs/solo_viola/viola_213709_forte_arco-normal.wav,2,21,09,37,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_441709_mezzo-piano_arco-normal.wav,3,44,09,17,0.01,mezzo-piano,arco-normal,bowed,Aaug121709_213709_441709o.wav,Aaug121709_213709_441709o.wav
12,23,43,augmented,forte,arco-normal,solo_wavs/solo_cello/cello_129409_forte_arco-normal.wav,1,12,09,94,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_233409_forte_arco-normal.wav,2,23,09,34,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_437409_forte_arco-normal.wav,3,43,09,74,0.01,forte,arco-normal,bowed,Aaug129409_233409_437409o.wav,Aaug129409_233409_437409o.wav
13,22,44,augmented,forte,arco-normal,solo_wavs/solo_cello/cello_133409_forte_arco-normal.wav,1,13,09,34,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_225409_forte_arco-normal.wav,2,22,09,54,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_441409_fortissimo_arco-normal.wav,3,44,09,14,0.01,fortissimo,arco-normal,bowed,Aaug133409_225409_441409c.wav,Aaug133409_225409_441409c.wav
13,22,45,augmented,forte,arco-normal,solo_wavs/solo_cello/cello_133609_forte_arco-normal.wav,1,13,09,36,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_225609_forte_arco-normal.wav,2,22,09,56,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_453609_forte_arco-normal.wav,3,45,09,36,0.01,forte,arco-normal,bowed,Aaug133609_225609_453609o.wav,Aaug133609_225609_453609o.wav
13,23,45,augmented,forte,arco-normal,solo_wavs/solo_cello/cello_133709_forte_arco-normal.wav,1,13,09,37,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_237709_forte_arco-normal.wav,2,23,09,77,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_453709_forte_arco-normal.wav,3,45,09,37,0.01,forte,arco-normal,bowed,Aaug133709_237709_453709o.wav,Aaug133709_237709_453709o.wav
10,21,43,augmented,forte,arco-normal,solo_wavs/solo_cello/cello_102709_forte_arco-normal.wav,1,10,09,27,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_218709_forte_arco-normal.wav,2,21,09,87,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_434709_forte_arco-normal.wav,3,43,09,47,0.01,forte,arco-normal,bowed,Asaug102709_218709_434709o.wav,Asaug102709_218709_434709o.wav
10,23,43,augmented,forte,arco-normal,solo_wavs/solo_cello/cello_102809_forte_arco-normal.wav,1,10,09,28,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_230809_piano_arco-normal.wav,2,23,09,08,0.01,piano,arco-normal,bowed,solo_wavs/solo_violin1/violin1_434809_forte_arco-normal.wav,3,43,09,48,0.01,forte,arco-normal,bowed,Asaug102809_230809_434809o.wav,Asaug102809_230809_434809o.wav
10,22,41,augmented,forte,arco-normal,solo_wavs/solo_cello/cello_106409_forte_arco-normal.wav,1,10,09,64,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_222409_forte_arco-normal.wav,2,22,09,24,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_414409_forte_arco-normal.wav,3,41,09,44,0.01,forte,arco-normal,bowed,Asaug106409_222409_414409o.wav,Asaug106409_222409_414409o.wav
11,21,43,augmented,piano,arco-normal,solo_wavs/solo_cello/cello_110309_piano_arco-normal.wav,1,11,09,03,0.01,piano,arco-normal,bowed,solo_wavs/solo_viola/viola_214309_forte_arco-normal.wav,2,21,09,43,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_430309_piano_arco-normal.wav,3,43,09,03,0.01,piano,arco-normal,bowed,Asaug110309_214309_430309o.wav,Asaug110309_214309_430309o.wav
11,24,44,augmented,forte,arco-normal,solo_wavs/solo_cello/cello_114409_forte_arco-normal.wav,1,11,09,44,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_242409_forte_arco-normal.wav,2,24,09,24,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_446409_forte_arco-normal.wav,3,44,09,64,0.01,forte,arco-normal,bowed,Asaug114409_242409_446409o.wav,Asaug114409_242409_446409o.wav
11,24,44,augmented,forte,arco-normal,solo_wavs/solo_cello/cello_114609_forte_arco-normal.wav,1,11,09,46,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_242609_forte_arco-normal.wav,2,24,09,26,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_446609_forte_arco-normal.wav,3,44,09,66,0.01,forte,arco-normal,bowed,Asaug114609_242609_446609o.wav,Asaug114609_242609_446609o.wav
11,22,41,augmented,forte,arco-normal,solo_wavs/solo_cello/cello_118709_forte_arco-normal.wav,1,11,09,87,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_222709_forte_arco-normal.wav,2,22,09,27,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_414709_forte_arco-normal.wav,3,41,09,47,0.01,forte,arco-normal,bowed,Asaug118709_222709_414709c.wav,Asaug118709_222709_414709c.wav
12,21,43,augmented,forte,arco-normal,solo_wavs/solo_cello/cello_122309_forte_arco-normal.wav,1,12,09,23,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_214309_forte_arco-normal.wav,2,21,09,43,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_430309_piano_arco-normal.wav,3,43,09,03,0.01,piano,arco-normal,bowed,Asaug122309_214309_430309c.wav,Asaug122309_214309_430309c.wav
12,21,44,augmented,forte,arco-normal,solo_wavs/solo_cello/cello_122409_forte_arco-normal.wav,1,12,09,24,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_214409_forte_arco-normal.wav,2,21,09,44,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_442409_forte_arco-normal.wav,3,44,09,24,0.01,forte,arco-normal,bowed,Asaug122409_214409_442409o.wav,Asaug122409_214409_442409o.wav
12,24,44,augmented,forte,arco-normal,solo_wavs/solo_cello/cello_126409_forte_arco-normal.wav,1,12,09,64,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_242409_forte_arco-normal.wav,2,24,09,24,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_446409_forte_arco-normal.wav,3,44,09,64,0.01,forte,arco-normal,bowed,Asaug126409_242409_446409c.wav,Asaug126409_242409_446409c.wav
13,23,43,augmented,mezzo-piano,arco-normal,solo_wavs/solo_cello/cello_130609_mezzo-piano_arco-normal.wav,1,13,09,06,0.01,mezzo-piano,arco-normal,bowed,solo_wavs/solo_viola/viola_234609_forte_arco-normal.wav,2,23,09,46,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_438609_forte_arco-normal.wav,3,43,09,86,0.01,forte,arco-normal,bowed,Asaug130609_234609_438609o.wav,Asaug130609_234609_438609o.wav
14,25,46,augmented,forte,arco-normal,solo_wavs/solo_cello/cello_146309_forte_arco-normal.wav,1,14,09,63,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_250309_piano_arco-normal.wav,2,25,09,03,0.01,piano,arco-normal,bowed,solo_wavs/solo_violin1/violin1_466309_forte_arco-normal.wav,3,46,09,63,0.01,forte,arco-normal,bowed,Asaug146309_250309_466309o.wav,Asaug146309_250309_466309o.wav
14,23,46,augmented,forte,arco-normal,solo_wavs/solo_cello/cello_146609_forte_arco-normal.wav,1,14,09,66,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_238609_forte_arco-normal.wav,2,23,09,86,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_466609_forte_arco-normal.wav,3,46,09,66,0.01,forte,arco-normal,bowed,Asaug146609_238609_466609o.wav,Asaug146609_238609_466609o.wav
11,24,44,augmented,forte,arco-normal,solo_wavs/solo_cello/cello_115609_forte_arco-normal.wav,1,11,09,56,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_243609_forte_arco-normal.wav,2,24,09,36,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_447609_forte_arco-normal.wav,3,44,09,76,0.01,forte,arco-normal,bowed,Baug115609_243609_447609o.wav,Baug115609_243609_447609o.wav
13,23,45,augmented,forte,arco-normal,solo_wavs/solo_cello/cello_135309_forte_arco-normal.wav,1,13,09,53,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_239309_forte_arco-normal.wav,2,23,09,93,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_455309_forte_arco-normal.wav,3,45,09,53,0.01,forte,arco-normal,bowed,Baug135309_239309_455309o.wav,Baug135309_239309_455309o.wav
12,22,44,augmented,piano,arco-normal,solo_wavs/solo_cello/cello_120309_piano_arco-normal.wav,1,12,09,03,0.01,piano,arco-normal,bowed,solo_wavs/solo_viola/viola_224309_forte_arco-normal.wav,2,22,09,43,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_440309_piano_arco-normal.wav,3,44,09,03,0.01,piano,arco-normal,bowed,Caug120309_224309_440309o.wav,Caug120309_224309_440309o.wav
12,23,43,augmented,forte,arco-normal,solo_wavs/solo_cello/cello_128709_forte_arco-normal.wav,1,12,09,87,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_232709_forte_arco-normal.wav,2,23,09,27,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_436709_forte_arco-normal.wav,3,43,09,67,0.01,forte,arco-normal,bowed,Caug128709_232709_436709c.wav,Caug128709_232709_436709c.wav
13,24,44,augmented,forte,arco-normal,solo_wavs/solo_cello/cello_136409_forte_arco-normal.wav,1,13,09,64,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_240409_fortissimo_arco-normal.wav,2,24,09,04,0.01,fortissimo,arco-normal,bowed,solo_wavs/solo_violin1/violin1_444409_forte_arco-normal.wav,3,44,09,44,0.01,forte,arco-normal,bowed,Caug136409_240409_444409c.wav,Caug136409_240409_444409c.wav
14,26,46,augmented,forte,arco-normal,solo_wavs/solo_cello/cello_144609_forte_arco-normal.wav,1,14,09,46,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_260609_mezzo-piano_arco-normal.wav,2,26,09,06,0.01,mezzo-piano,arco-normal,bowed,solo_wavs/solo_violin1/violin1_464609_forte_arco-normal.wav,3,46,09,46,0.01,forte,arco-normal,bowed,Caug144609_260609_464609o.wav,Caug144609_260609_464609o.wav
10,22,43,augmented,mezzo-piano,non-vibrato,solo_wavs/solo_cello/cello_101617_mezzo-piano_non-vibrato.wav,1,10,17,16,0.01,mezzo-piano,non-vibrato,bowed,solo_wavs/solo_viola/viola_229617_mezzo-piano_non-vibrato.wav,2,22,17,96,0.01,mezzo-piano,non-vibrato,bowed,solo_wavs/solo_violin1/violin1_433617_mezzo-piano_non-vibrato.wav,3,43,17,36,0.01,mezzo-piano,non-vibrato,bowed,Csaug101617_229617_433617o.wav,Csaug101617_229617_433617o.wav
10,22,41,augmented,forte,arco-normal,solo_wavs/solo_cello/cello_105309_forte_arco-normal.wav,1,10,09,53,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_221309_forte_arco-normal.wav,2,22,09,13,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_413309_forte_arco-normal.wav,3,41,09,33,0.01,forte,arco-normal,bowed,Csaug105309_221309_413309o.wav,Csaug105309_221309_413309o.wav
11,22,44,augmented,forte,arco-normal,solo_wavs/solo_cello/cello_113709_forte_arco-normal.wav,1,11,09,37,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_229709_forte_arco-normal.wav,2,22,09,97,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_445709_forte_arco-normal.wav,3,44,09,57,0.01,forte,arco-normal,bowed,Csaug113709_229709_445709o.wav,Csaug113709_229709_445709o.wav
