cello_pitch,viola_pitch,violin1_pitch,chord_type,dynamic,technique,cello_file,cello_instrument_code,cello_pitch_code,cello_technique_code,cello_dynamic_code,cello_audible_duration,cello_dynamic,cello_technique,cello_family,viola_file,viola_instrument_code,viola_pitch_code,viola_technique_code,viola_dynamic_code,viola_audible_duration,viola_dynamic,viola_technique,viola_family,violin1_file,violin1_instrument_code,violin1_pitch_code,violin1_technique_code,violin1_dynamic_code,violin1_audible_duration,violin1_dynamic,violin1_technique,violin1_family,wav_filename,chord_filename
12,24,43,diminished,forte,arco-normal,solo_wavs/solo_cello/cello_128409_forte_arco-normal.wav,1,12,09,84,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_243409_forte_arco-normal.wav,2,24,09,34,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_437409_forte_arco-normal.wav,3,43,09,74,0.01,forte,arco-normal,bowed,Adim128409_243409_437409o.wav,Adim128409_243409_437409o.wav
13,22,45,diminished,forte,arco-normal,solo_wavs/solo_cello/cello_131609_forte_arco-normal.wav,1,13,09,16,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_225609_forte_arco-normal.wav,2,22,09,56,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_452609_forte_arco-normal.wav,3,45,09,26,0.01,forte,arco-normal,bowed,Adim131609_225609_452609o.wav,Adim131609_225609_452609o.wav
14,25,44,diminished,fortissimo,arco-normal,solo_wavs/solo_cello/cello_140409_fortissimo_arco-normal.wav,1,14,09,04,0.01,fortissimo,arco-normal,bowed,solo_wavs/solo_viola/viola_255409_forte_arco-normal.wav,2,25,09,54,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_449409_forte_arco-normal.wav,3,44,09,94,0.01,forte,arco-normal,bowed,Adim140409_255409_449409o.wav,Adim140409_255409_449409o.wav
14,23,45,diminished,forte,arco-normal,solo_wavs/solo_cello/cello_143409_forte_arco-normal.wav,1,14,09,34,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_237409_forte_arco-normal.wav,2,23,09,74,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_452409_forte_arco-normal.wav,3,45,09,24,0.01,forte,arco-normal,bowed,Adim143409_237409_452409c.wav,Adim143409_237409_452409c.wav
14,23,45,diminished,forte,arco-normal,solo_wavs/solo_cello/cello_143709_forte_arco-normal.wav,1,14,09,37,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_237709_forte_arco-normal.wav,2,23,09,77,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_452709_forte_arco-normal.wav,3,45,09,27,0.01,forte,arco-normal,bowed,Adim143709_237709_452709c.wav,Adim143709_237709_452709c.wav
11,22,41,diminished,forte,arco-normal,solo_wavs/solo_cello/cello_117409_forte_arco-normal.wav,1,11,09,74,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_220409_fortissimo_arco-normal.wav,2,22,09,04,0.01,fortissimo,arco-normal,bowed,solo_wavs/solo_violin1/violin1_414409_forte_arco-normal.wav,3,41,09,44,0.01,forte,arco-normal,bowed,Asdim117409_220409_414409c.wav,Asdim117409_220409_414409c.wav
12,21,44,diminished,piano,arco-normal,solo_wavs/solo_cello/cello_120309_piano_arco-normal.wav,1,12,09,03,0.01,piano,arco-normal,bowed,solo_wavs/solo_viola/viola_214309_forte_arco-normal.wav,2,21,09,43,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_441309_forte_arco-normal.wav,3,44,09,13,0.01,forte,arco-normal,bowed,Asdim120309_214309_441309o.wav,Asdim120309_214309_441309o.wav
14,24,43,diminished,fortissimo,arco-normal,solo_wavs/solo_cello/cello_141409_fortissimo_arco-normal.wav,1,14,09,14,0.01,fortissimo,arco-normal,bowed,solo_wavs/solo_viola/viola_244409_forte_arco-normal.wav,2,24,09,44,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_438409_forte_arco-normal.wav,3,43,09,84,0.01,forte,arco-normal,bowed,Asdim141409_244409_438409c.wav,Asdim141409_244409_438409c.wav
10,22,41,diminished,forte,arco-normal,solo_wavs/solo_cello/cello_106709_forte_arco-normal.wav,1,10,09,67,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_221709_mezzo-piano_arco-normal.wav,2,22,09,17,0.01,mezzo-piano,arco-normal,bowed,solo_wavs/solo_violin1/violin1_415709_forte_arco-normal.wav,3,41,09,57,0.01,forte,arco-normal,bowed,Bdim106709_221709_415709o.wav,Bdim106709_221709_415709o.wav
12,21,44,diminished,forte,arco-normal,solo_wavs/solo_cello/cello_121809_forte_arco-normal.wav,1,12,09,18,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_215809_forte_arco-normal.wav,2,21,09,58,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_442809_forte_arco-normal.wav,3,44,09,28,0.01,forte,arco-normal,bowed,Bdim121809_215809_442809o.wav,Bdim121809_215809_442809o.wav
