cello_pitch,viola_pitch,violin1_pitch,chord_type,dynamic,technique,cello_file,cello_instrument_code,cello_pitch_code,cello_technique_code,cello_dynamic_code,cello_audible_duration,cello_dynamic,cello_technique,cello_family,viola_file,viola_instrument_code,viola_pitch_code,viola_technique_code,viola_dynamic_code,viola_audible_duration,viola_dynamic,viola_technique,viola_family,violin1_file,violin1_instrument_code,violin1_pitch_code,violin1_technique_code,violin1_dynamic_code,violin1_audible_duration,violin1_dynamic,violin1_technique,violin1_family,wav_filename,chord_filename
10,22,43,major,forte,arco-normal,solo_wavs/solo_cello/cello_101309_forte_arco-normal.wav,1,10,09,13,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_229309_forte_arco-normal.wav,2,22,09,93,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_432309_forte_arco-normal.wav,3,43,09,23,0.01,forte,arco-normal,bowed,Amaj101309_229309_432309o.wav,Amaj101309_229309_432309o.wav
10,21,43,major,fortissimo,arco-normal,solo_wavs/solo_cello/cello_101409_fortissimo_arco-normal.wav,1,10,09,14,0.01,fortissimo,arco-normal,bowed,solo_wavs/solo_viola/viola_217409_forte_arco-normal.wav,2,21,09,74,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_432409_forte_arco-normal.wav,3,43,09,24,0.01,forte,arco-normal,bowed,Amaj101409_217409_432409o.wav,Amaj101409_217409_432409o.wav
10,22,43,major,fortissimo,arco-normal,solo_wavs/solo_cello/cello_101409_fortissimo_arco-normal.wav,1,10,09,14,0.01,fortissimo,arco-normal,bowed,solo_wavs/solo_viola/viola_229409_forte_arco-normal.wav,2,22,09,94,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_432409_forte_arco-normal.wav,3,43,09,24,0.01,forte,arco-normal,bowed,Amaj101409_229409_432409o.wav,Amaj101409_229409_432409o.wav
10,21,43,major,mezzo-piano,arco-normal,solo_wavs/solo_cello/cello_101709_mezzo-piano_arco-normal.wav,1,10,09,17,0.01,mezzo-piano,arco-normal,bowed,solo_wavs/solo_viola/viola_217709_forte_arco-normal.wav,2,21,09,77,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_432709_forte_arco-normal.wav,3,43,09,27,0.01,forte,arco-normal,bowed,Amaj101709_217709_432709o.wav,Amaj101709_217709_432709o.wav
12,21,44,major,piano,arco-normal,solo_wavs/solo_cello/cello_120309_piano_arco-normal.wav,1,12,09,03,0.01,piano,arco-normal,bowed,solo_wavs/solo_viola/viola_213309_forte_arco-normal.wav,2,21,09,33,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_441309_forte_arco-normal.wav,3,44,09,13,0.01,forte,arco-normal,bowed,Amaj120309_213309_441309o.wav,Amaj120309_213309_441309o.wav
12,24,45,major,forte,arco-normal,solo_wavs/solo_cello/cello_125709_forte_arco-normal.wav,1,12,09,57,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_241709_mezzo-piano_arco-normal.wav,2,24,09,17,0.01,mezzo-piano,arco-normal,bowed,solo_wavs/solo_violin1/violin1_456709_forte_arco-normal.wav,3,45,09,67,0.01,forte,arco-normal,bowed,Amaj125709_241709_456709o.wav,Amaj125709_241709_456709o.wav
12,24,43,major,forte,arco-normal,solo_wavs/solo_cello/cello_129409_forte_arco-normal.wav,1,12,09,94,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_244409_forte_arco-normal.wav,2,24,09,44,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_437409_forte_arco-normal.wav,3,43,09,74,0.01,forte,arco-normal,bowed,Amaj129409_244409_437409o.wav,Amaj129409_244409_437409o.wav
12,24,43,major,forte,arco-normal,solo_wavs/solo_cello/cello_129709_forte_arco-normal.wav,1,12,09,97,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_244709_forte_arco-normal.wav,2,24,09,47,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_437709_forte_arco-normal.wav,3,43,09,77,0.01,forte,arco-normal,bowed,Amaj129709_244709_437709o.wav,Amaj129709_244709_437709o.wav
13,25,45,major,forte,arco-normal,solo_wavs/solo_cello/cello_137309_forte_arco-normal.wav,1,13,09,73,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_253309_forte_arco-normal.wav,2,25,09,33,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_456309_forte_arco-normal.wav,3,45,09,63,0.01,forte,arco-normal,bowed,Amaj137309_253309_456309c.wav,Amaj137309_253309_456309c.wav
14,25,44,major,forte,arco-normal,solo_wavs/solo_cello/cello_141309_forte_arco-normal.wav,1,14,09,13,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_256309_forte_arco-normal.wav,2,25,09,63,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_449309_forte_arco-normal.wav,3,44,09,93,0.01,forte,arco-normal,bowed,Amaj141309_256309_449309o.wav,Amaj141309_256309_449309o.wav
14,24,43,major,fortissimo,arco-normal,solo_wavs/solo_cello/cello_141409_fortissimo_arco-normal.wav,1,14,09,14,0.01,fortissimo,arco-normal,bowed,solo_wavs/solo_viola/viola_244409_forte_arco-normal.wav,2,24,09,44,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_437409_forte_arco-normal.wav,3,43,09,74,0.01,forte,arco-normal,bowed,Amaj141409_244409_437409c.wav,Amaj141409_244409_437409c.wav
