cello_pitch,viola_pitch,violin1_pitch,chord_type,dynamic,technique,cello_file,cello_instrument_code,cello_pitch_code,cello_technique_code,cello_dynamic_code,cello_audible_duration,cello_dynamic,cello_technique,cello_family,viola_file,viola_instrument_code,viola_pitch_code,viola_technique_code,viola_dynamic_code,viola_audible_duration,viola_dynamic,viola_technique,viola_family,violin1_file,violin1_instrument_code,violin1_pitch_code,violin1_technique_code,violin1_dynamic_code,violin1_audible_duration,violin1_dynamic,violin1_technique,violin1_family,wav_filename,chord_filename
11,22,41,minor,forte,arco-normal,solo_wavs/solo_cello/cello_116609_forte_arco-normal.wav,1,11,09,66,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_220609_mezzo-piano_arco-normal.wav,2,22,09,06,0.01,mezzo-piano,arco-normal,bowed,solo_wavs/solo_violin1/violin1_413609_forte_arco-normal.wav,3,41,09,36,0.01,forte,arco-normal,bowed,Amin116609_220609_413609c.wav,Amin116609_220609_413609c.wav
13,25,46,minor,forte,arco-normal,solo_wavs/solo_cello/cello_137309_forte_arco-normal.wav,1,13,09,73,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_252309_forte_arco-normal.wav,2,25,09,23,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_468309_forte_arco-normal.wav,3,46,09,83,0.01,forte,arco-normal,bowed,Amin137309_252309_468309o.wav,Amin137309_252309_468309o.wav
13,26,46,minor,forte,arco-normal,solo_wavs/solo_cello/cello_137409_forte_arco-normal.wav,1,13,09,74,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_264409_forte_arco-normal.wav,2,26,09,44,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_468409_forte_arco-normal.wav,3,46,09,84,0.01,forte,arco-normal,bowed,Amin137409_264409_468409o.wav,Amin137409_264409_468409o.wav
13,26,46,minor,forte,arco-normal,solo_wavs/solo_cello/cello_137709_forte_arco-normal.wav,1,13,09,77,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_264709_forte_arco-normal.wav,2,26,09,47,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_468709_forte_arco-normal.wav,3,46,09,87,0.01,forte,arco-normal,bowed,Amin137709_264709_468709o.wav,Amin137709_264709_468709o.wav
11,24,44,minor,forte,arco-normal,solo_wavs/solo_cello/cello_114309_forte_arco-normal.wav,1,11,09,43,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_241309_forte_arco-normal.wav,2,24,09,13,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_445309_forte_arco-normal.wav,3,44,09,53,0.01,forte,arco-normal,bowed,Asmin114309_241309_445309o.wav,Asmin114309_241309_445309o.wav
11,24,44,minor,forte,arco-normal,solo_wavs/solo_cello/cello_114409_forte_arco-normal.wav,1,11,09,44,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_241409_fortissimo_arco-normal.wav,2,24,09,14,0.01,fortissimo,arco-normal,bowed,solo_wavs/solo_violin1/violin1_445409_forte_arco-normal.wav,3,44,09,54,0.01,forte,arco-normal,bowed,Asmin114409_241409_445409o.wav,Asmin114409_241409_445409o.wav
11,22,41,minor,forte,arco-normal,solo_wavs/solo_cello/cello_117309_forte_arco-normal.wav,1,11,09,73,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_221309_forte_arco-normal.wav,2,22,09,13,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_414309_forte_arco-normal.wav,3,41,09,43,0.01,forte,arco-normal,bowed,Asmin117309_221309_414309c.wav,Asmin117309_221309_414309c.wav
12,25,45,minor,forte,arco-normal,solo_wavs/solo_cello/cello_126309_forte_arco-normal.wav,1,12,09,63,0.01,forte,arco-normal,bowed,solo_wavs/solo_viola/viola_253309_forte_arco-normal.wav,2,25,09,33,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_457309_forte_arco-normal.wav,3,45,09,73,0.01,forte,arco-normal,bowed,Asmin126309_253309_457309o.wav,Asmin126309_253309_457309o.wav
14,24,43,minor,fortissimo,arco-normal,solo_wavs/solo_cello/cello_141409_fortissimo_arco-normal.wav,1,14,09,14,0.01,fortissimo,arco-normal,bowed,solo_wavs/solo_viola/viola_245409_forte_arco-normal.wav,2,24,09,54,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_438409_forte_arco-normal.wav,3,43,09,84,0.01,forte,arco-normal,bowed,Asmin141409_245409_438409c.wav,Asmin141409_245409_438409c.wav
14,25,45,minor,mezzo-piano,arco-normal,solo_wavs/solo_cello/cello_141709_mezzo-piano_arco-normal.wav,1,14,09,17,0.01,mezzo-piano,arco-normal,bowed,solo_wavs/solo_viola/viola_257709_forte_arco-normal.wav,2,25,09,77,0.01,forte,arco-normal,bowed,solo_wavs/solo_violin1/violin1_450709_forte_arco-normal.wav,3,45,09,07,0.01,forte,arco-normal,bowed,Asmin141709_257709_450709o.wav,Asmin141709_257709_450709o.wav
